League,Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,2025,3yr Avg,Proj
TRUFFLE,QB,MCM,Shedeur Sanders,CLE,@JAC,Sun  1:00pm ET,11,40.5,32,19,14%,3%,5,2,92.00,85.58,41.25
TRUFFLE,RB,MCM,Isiah Pacheco,DET,NO,Sun  1:00pm ET,6,50.5,57,20,56%,4%,20,2,99.60,125.30,98.54
TRUFFLE,RB,MCM,Kimani Vidal,LAC,ARI,Sun  4:25pm ET,7,47.5,---,30,35%,6%,5,1,140.20,85.90,64.04
TRUFFLE,WR,MCM,Ted Hurst,TB,@CIN,Sun  1:00pm ET,10,50.5,---,9,7%,1%,3,3,0.00,0.00,66.98
TRUFFLE,WR,MCM,Makai Lemon,PHI,WAS,Sun  4:25pm ET,10,45.5,51,28,48%,3%,25,3,0.00,0.00,96.53
TRUFFLE,TE,MCM,Isaiah Likely,NYG,DAL,Sun  8:20pm ET,8,48.5,9,13,69%,40%,1,1,45.70,77.40,126.61
TRUFFLE,WR,MCM,Skyler Bell,BUF,@HOU,Sun  1:00pm ET,7,44.5,---,7,4%,1%,5,3,0.00,0.00,23.03
TRUFFLE,RB,MCM,Adam Randall,BAL,@IND,Sun  1:00pm ET,13,47.5,---,11,8%,1%,3,3,0.00,0.00,58.44
TRUFFLE,DST,MCM,Browns,CLE,@JAC,Sun  1:00pm ET,11,40.5,16,14,44%,25%,1,1,154.00,125.00,139.80
TRUFFLE,QB,MWM,Jalen Hurts,PHI,WAS,Sun  4:25pm ET,10,45.5,6,30,95%,80%,132,1,340.06,376.52,315.02
TRUFFLE,RB,MWM,Derrick Henry,BAL,@IND,Sun  1:00pm ET,13,47.5,8,11,98%,96%,92,1,347.50,357.62,273.92
TRUFFLE,RB,MWM,Cam Skattebo,NYG,DAL,Sun  8:20pm ET,8,48.5,22,27,83%,59%,10,2,142.00,134.20,198.21
TRUFFLE,WR,MWM,Zay Flowers,BAL,@IND,Sun  1:00pm ET,13,47.5,16,27,95%,84%,32,3,208.30,192.30,174.13
TRUFFLE,WR,MWM,Terry McLaurin,WAS,@PHI,Sun  4:25pm ET,7,45.5,24,8,91%,66%,67,1,109.20,177.00,155.39
TRUFFLE,TE,MWM,Mark Andrews,BAL,@IND,Sun  1:00pm ET,13,47.5,14,25,82%,37%,19,1,114.00,131.30,129.49
TRUFFLE,RB,MWM,Jacory Croskey-Merritt,WAS,@PHI,Sun  4:25pm ET,7,45.5,30,26,78%,12%,31,1,175.40,175.80,136.90
TRUFFLE,WR,MWM,Courtland Sutton,DEN,@KC,Mon  8:15pm ET,10,43,34,6,90%,52%,20,1,197.70,193.12,132.31
TRUFFLE,QB,MWM,Cam Ward,TEN,NYJ,Sun  1:00pm ET,9,39,26,31,25%,4%,40,2,202.26,200.78,225.68
TRUFFLE,DST,MWM,Patriots,NE,@SEA,Wed  8:20pm ET,11,44.5,8,6,85%,64%,2,2,160.00,124.00,143.60
TRUFFLE,RB,MWM,Kaytron Allen,WAS,@PHI,Sun  4:25pm ET,7,45.5,---,26,9%,1%,5,3,0.00,0.00,27.31
TRUFFLE,RB,MWM,Zach Charbonnet,SEA,NE,Wed  8:20pm ET,11,44.5,46,2,72%,12%,15,2,216.40,166.00,85.51
TRUFFLE,WR,MWM,Ja'Kobi Lane,BAL,@IND,Sun  1:00pm ET,13,47.5,---,27,34%,2%,5,3,0.00,0.00,109.11
TRUFFLE,WR,MWM,Alec Pierce,IND,BAL,Sun  1:00pm ET,13,47.5,40,25,83%,29%,17,2,177.30,138.80,159.66
TRUFFLE,WR,MWM,Rashid Shaheed,SEA,NE,Wed  8:20pm ET,11,44.5,---,11,54%,6%,1,1,117.90,100.50,116.33
TRUFFLE,TE,MWM,AJ Barner,SEA,NE,Wed  8:20pm ET,11,44.5,24,17,27%,7%,1,2,130.30,96.70,97.42
