Season,Week,TRUFFLE,Player,Pos,NFL,Pct,20+,40+,Avg,20+,Tar,TarPct,Avg,20+,40+,1Std Pct,Total,Avg,Total
2022,1,MWM,Adam Thielen,WR,MIN,0,0,0,0,0,4,12.5,12,1,0,66.7,36,5.6,5.6
2022,1,W (9/29),Mike Strachan,WR,IND,0,0,0,0,0,2,4,18,1,0,100,36,5.6,5.6
2022,1,MCM,Alexander Mattison,RB,MIN,0,0,0,4.5,0,0,0,0,0,0,0,36,5.6,5.6
2022,1,MCM,Dak Prescott,QB,DAL,48.3,1,0,5.5,0,0,0,0,0,0,0,145,5.46,5.46
2022,1,W (9/29),Juwan Johnson,TE,NO,0,0,0,0,0,5,14.7,21.5,1,0,50,43,5.3,5.3
2022,1,W (9/29),Albert Okwuegbunam,TE,DEN,0,0,0,0,0,6,14.3,6.6,0,0,40,33,5.3,5.3
2022,1,W (9/29),Jonnu Smith,TE,NE,0,0,0,0,0,4,13.3,11,0,0,66.7,33,5.3,5.3
2022,1,GF,Kendrick Bourne,WR,NE,0,0,0,0,0,1,3.3,41,1,1,100,41,5.1,5.1
2022,1,GF,Christian Watson,WR,GB,0,0,0,7,0,4,10.3,17,1,0,50,41,5.1,5.1
2022,1,W (9/29),Chris Moore,WR,HOU,0,0,0,0,0,3,8.1,10.3,0,0,66.7,31,5.1,5.1
2022,1,W (9/29),Zach Gentry,TE,PIT,0,0,0,0,0,2,5.3,20,1,0,50,40,5,5
2022,1,WLW,CeeDee Lamb,WR,DAL,0,0,0,0,0,11,26.2,14.5,0,0,100,29,4.9,4.9
2022,1,CC,Tyler Lockett,WR,SEA,0,0,0,0,0,4,14.3,9.3,0,0,66.7,28,4.8,4.8
2022,1,W (9/29),Khadarel Hodge,WR,ATL,0,0,0,0,0,3,9.1,12.7,0,0,33.3,38,4.8,4.8
2022,1,W (9/29),Josiah Deguara,TE,GB,0,0,0,0,0,2,5.1,14,0,0,100,28,4.8,4.8
2022,1,W (9/29),Samaje Perine,RB,CIN,0,0,0,4,0,5,9.4,11,0,0,33.3,37,4.7,4.7
2022,1,FRR,Rhamondre Stevenson,RB,NE,0,0,0,3.1,0,2,6.7,1,0,0,0,27,4.7,4.7
2022,1,WLW,Tee Higgins,WR,CIN,0,0,0,0,0,2,3.8,13.5,0,0,100,27,4.7,4.7
2022,1,W (9/29),Mo Alie-Cox,TE,IND,0,0,0,0,0,2,4,13,0,0,100,26,4.6,4.6
2022,1,MWM,Robert Tonyan,TE,GB,0,0,0,0,0,5,12.8,12,1,0,33.3,36,4.6,4.6
2022,1,MAM,Chris Godwin,WR,TB,0,0,0,0,0,3,11.1,11.7,1,0,33.3,35,4.5,4.5
2022,1,W (9/29),Ben Skowronek,WR,LAR,0,0,0,0,0,6,14.6,6.2,0,0,50,25,4.5,4.5
2022,1,MCM,Hunter Renfrow,WR,LV,0,0,0,0,0,6,16.2,7,0,0,66.7,21,4.1,4.1
2022,1,W (9/29),Olamide Zaccheaus,WR,ATL,0,0,0,0,0,4,12.1,12.2,1,0,25,49,3.9,3.9
2022,1,VD,Evan Engram,TE,JAC,0,0,0,0,0,4,9.5,7,0,0,25,28,3.8,3.8
2022,1,W (9/29),Josh Reynolds,WR,DET,0,0,0,0,0,3,8.1,28,1,0,100,28,3.8,3.8
2022,1,W (9/29),Sammy Watkins,WR,GB,0,0,0,0,0,3,7.7,6,0,0,66.7,18,3.8,3.8
2022,1,AFL,Nico Collins,WR,HOU,0,0,0,0,0,3,8.1,13,0,0,50,26,3.6,3.6
2022,1,W (9/29),Trace McSorley,QB,ARI,50,0,0,6.7,0,0,0,0,0,0,0,32,3.48,3.48
2022,1,MAM,Matt Breida,RB,NYG,0,0,0,4.8,0,0,0,0,0,0,0,24,3.4,3.4
2022,1,W (9/29),Randall Cobb,WR,GB,0,0,0,0,0,3,7.7,7,0,0,100,14,3.4,3.4
2022,1,W (9/29),Armani Rogers,TE,WAS,0,0,0,0,0,1,2.4,23,1,0,100,23,3.3,3.3
2022,1,AFL,Kadarius Toney,WR,NYG,0,0,0,11.5,0,0,0,0,0,0,0,23,3.3,3.3
2022,1,W (9/29),Byron Pringle,WR,CHI,0,0,0,0,0,2,11.8,22,1,0,100,22,3.2,3.2
2022,1,W (9/29),Kylen Granson,TE,IND,0,0,0,0,0,7,14,7.3,0,0,33.3,22,3.2,3.2
2022,1,W (9/29),Marquise Goodwin,WR,SEA,0,0,0,0,0,2,7.1,11,0,0,50,22,3.2,3.2
2022,1,W (9/29),Cody Hollister,WR,TEN,0,0,0,0,0,1,3,22,1,0,100,22,3.2,3.2
2022,1,W (9/29),Kenny Golladay,WR,NYG,0,0,0,0,0,2,9.5,11,0,0,50,22,3.2,3.2
2022,1,MAM,Rachaad White,RB,TB,0,0,0,2.3,0,2,7.4,3.5,0,0,0,21,3.1,3.1
2022,1,W (9/29),Ray-Ray McCloud,WR,SF,0,0,0,0,0,2,7.1,20,1,0,100,20,3,3
2022,1,MAM,Jeff Wilson,RB,SF,0,0,0,2.4,0,2,7.1,4,0,0,0,30,3,3
2022,1,W (9/29),Demarcus Robinson,WR,BAL,0,0,0,0,0,4,13.3,9.5,0,0,50,19,2.9,2.9
2022,1,MCM,Kyle Pitts,TE,ATL,0,0,0,0,0,7,21.2,9.5,0,0,50,19,2.9,2.9
2022,1,W (9/29),Geoff Swaim,TE,TEN,0,0,0,0,0,4,12.1,6.3,0,0,33.3,19,2.9,2.9
2022,1,W (9/29),Harrison Bryant,TE,CLE,0,0,0,0,0,4,11.8,9,0,0,50,18,2.8,2.8
2022,1,W (9/29),Cedrick Wilson,WR,MIA,0,0,0,8,0,2,6.1,10,0,0,0,28,2.8,2.8
2022,1,W (9/29),Pharaoh Brown,TE,HOU,0,0,0,0,0,1,2.7,17,0,0,100,17,2.7,2.7
2022,1,W (9/29),Johnny Mundt,TE,MIN,0,0,0,0,0,3,9.4,5.7,0,0,33.3,17,2.7,2.7
2022,1,W (9/29),Juwann Winfree,WR,GB,0,0,0,0,0,1,2.6,17,0,0,100,17,2.7,2.7
2022,1,MWM,DK Metcalf,WR,SEA,0,0,0,0,0,7,25,5.1,0,0,14.3,36,2.6,2.6
2022,1,CRB,Zack Moss,RB,BUF,0,0,0,2.5,0,6,19.4,3.5,0,0,0,36,2.6,2.6
2022,1,W (9/29),Mack Hollins,WR,LV,0,0,0,0,0,1,2.7,16,0,0,100,16,2.6,2.6
2022,1,GF,Noah Fant,TE,SEA,0,0,0,0,0,4,14.3,5.3,0,0,33.3,16,2.6,2.6
2022,1,W (9/29),Jordan Love,QB,GB,80,1,0,0,0,0,0,0,0,0,0,65,2.6,2.6
2022,1,MCM,Cooper Rush,QB,DAL,53.8,0,0,0,0,0,0,0,0,0,0,64,2.56,2.56
2022,1,W (9/29),Mike Thomas,WR,CIN,0,0,0,0,0,5,9.4,5,0,0,0,5,2.5,2.5
2022,1,W (9/29),Durham Smythe,TE,MIA,0,0,0,0,0,2,6.1,14,0,0,100,14,2.4,2.4
2022,1,W (9/29),Tre' McKitty,TE,LAC,0,0,0,0,0,4,11.8,8,0,0,0,24,2.4,2.4
2022,1,W (9/29),Nick Westbrook-Ikhine,WR,TEN,0,0,0,0,0,2,6.1,13,0,0,100,13,2.3,2.3
2022,1,W (9/29),Brandon Powell,WR,LAR,0,0,0,3,0,1,2.4,10,0,0,100,13,2.3,2.3
2022,1,W (9/29),AJ Green,WR,ARI,0,0,0,0,0,4,10.5,6.5,0,0,50,13,2.3,2.3
2022,1,W (9/29),Mark Ingram,RB,NO,0,0,0,5.5,0,1,2.9,1,0,0,0,23,2.3,2.3
2022,1,AFL,Robert Woods,WR,TEN,0,0,0,0,0,2,6.1,13,0,0,100,13,2.3,2.3
2022,1,W (9/29),Shi Smith,WR,CAR,0,0,0,0,0,3,11.1,12,0,0,100,12,2.2,2.2
2022,1,W (9/29),Jamal Agnew,WR,JAC,0,0,0,6,0,1,2.4,6,0,0,0,12,2.2,2.2
2022,1,W (9/29),Sony Michel,RB,LAC,0,0,0,1.7,0,0,0,0,0,0,0,12,2.2,2.2
2022,1,VD,Tony Pollard,RB,DAL,0,0,0,1.3,0,2,4.8,7,0,0,0,22,2.2,2.2
2022,1,W (9/29),Chigoziem Okonkwo,TE,TEN,0,0,0,-4,0,1,3,11,0,0,100,7,2.1,2.1
2022,1,W (9/29),Mike Davis,RB,BAL,0,0,0,5.5,0,0,0,0,0,0,0,11,2.1,2.1
2022,1,W (9/29),Ross Dwelley,TE,SF,0,0,0,0,0,2,7.1,11,0,0,100,11,2.1,2.1
2022,1,W (9/29),Alec Ingold,RB,MIA,0,0,0,2,0,2,6.1,8,0,0,0,10,2,2
2022,1,W (9/29),Andy Isabella,WR,ARI,0,0,0,0,0,3,7.9,10,0,0,100,10,2,2
