League,Season,TRUFFLE,Pos,Player,NFL,Salary,Contract,Ring,BenchCup
TRUFFLE,2020,AFL,RB,Phillip Lindsay,DEN,25,2,0,0
TRUFFLE,2020,AFL,RB,Sony Michel,NE,16,2,0,0
TRUFFLE,2020,AFL,WR,Jarvis Landry,CLE,28,2,0,0
TRUFFLE,2020,AFL,WR,Terry McLaurin,WAS,52,3,0,0
TRUFFLE,2020,AFL,WR,AJ Brown,TEN,47,4,0,0
TRUFFLE,2020,AFL,TE,George Kittle,SF,37,4,0,0
TRUFFLE,2020,AFL,WR,Jakobi Meyers,NE,3,2,0,0
TRUFFLE,2020,AFL,WR,Russell Gage,ATL,2,2,0,0
TRUFFLE,2020,AFL,RB,Todd Gurley,ATL,50,2,0,0
TRUFFLE,2020,AFL,RB,Brian Hill,ATL,9,2,0,0
TRUFFLE,2020,AFL,RB,Anthony McFarland,PIT,3,3,0,0
TRUFFLE,2020,AFL,WR,Keelan Cole,JAC,1,2,0,0
TRUFFLE,2020,AFL,TE,Jordan Reed,SF,1,2,0,0
TRUFFLE,2020,AFL,WR,DeVante Parker,MIA,27,3,0,0
TRUFFLE,2020,AFL,RB,Peyton Barber,WAS,8,2,0,0
TRUFFLE,2020,AFL,WR,Tyler Boyd,CIN,21,2,0,0
TRUFFLE,2020,AFL,WR,Denzel Mims,NYJ,4,3,0,0
TRUFFLE,2020,AFL,QB,Joe Burrow,CIN,45,3,0,0
TRUFFLE,2020,AFL,RB,Joe Mixon,CIN,65,3,0,0
TRUFFLE,2020,CC,QB,Josh Allen,BUF,79,2,1,0
TRUFFLE,2020,CC,RB,Alvin Kamara,NO,78,2,1,0
TRUFFLE,2020,CC,RB,Jonathan Taylor,IND,35,3,1,0
TRUFFLE,2020,CC,WR,DeAndre Hopkins,ARI,58,2,1,0
TRUFFLE,2020,CC,WR,Chase Claypool,PIT,4,3,1,0
TRUFFLE,2020,CC,WR,Steven Sims,WAS,4,3,1,0
TRUFFLE,2020,CC,TE,Darren Waller,LV,24,2,1,0
TRUFFLE,2020,CC,RB,Latavius Murray,NO,18,2,1,0
TRUFFLE,2020,CC,QB,Kirk Cousins,MIN,20,3,1,0
TRUFFLE,2020,CC,QB,Andy Dalton,DAL,10,2,1,0
TRUFFLE,2020,CC,RB,Chase Edmonds,ARI,11,3,1,0
TRUFFLE,2020,CC,WR,Michael Thomas,NO,77,2,1,0
TRUFFLE,2020,CC,WR,John Brown,BUF,17,1,1,0
TRUFFLE,2020,CC,WR,Donovan Peoples-Jones,CLE,3,3,1,0
TRUFFLE,2020,CC,TE,Irv Smith,MIN,8,2,1,0
TRUFFLE,2020,CC,RB,Raheem Mostert,SF,46,2,1,0
TRUFFLE,2020,CRB,QB,Ryan Tannehill,TEN,21,1,0,0
TRUFFLE,2020,CRB,RB,JK Dobbins,BAL,15,3,0,0
TRUFFLE,2020,CRB,RB,Antonio Gibson,WAS,5,3,0,0
TRUFFLE,2020,CRB,WR,Robert Woods,LAR,52,2,0,0
TRUFFLE,2020,CRB,WR,Mike Williams,LAC,5,2,0,0
TRUFFLE,2020,CRB,WR,Hunter Renfrow,LV,7,2,0,0
