playerID,Player,Pos,NFL,TRUFFLE
2965374,Anthony Schwartz,WR,CLE,W (5/9)
2180445,Jordan Scarlett,RB,MIA,W (5/9)
3159195,Patrick Carr,RB,SEA,W (5/9)
2242770,Tyler Vaughns,WR,PIT,W (5/9)
2864581,Quintin Morris,TE,BUF,W (5/9)
2239649,Skylar Thompson,QB,MIA,W (5/9)
2804309,Dazz Newsome,WR,CHI,W (5/9)
2179644,Rodney Anderson,RB,CIN,W (5/9)
2819115,Tarik Black,WR,NYJ,W (5/9)
1871375,Chris Moore,WR,HOU,W (5/9)
1679885,Taimi Tutogi,RB,FA,W (5/9)
2221807,N'Keal Harry,WR,NE,W (5/9)
3117088,Cortrelle Simpson,WR,TB,W (5/9)
2221990,Dezmon Patmon,WR,IND,W (5/9)
2001862,Nate Sudfeld,QB,SF,W (5/9)
2251084,DJ Turner,WR,LV,W (5/9)
26688308,Shane Zylstra,TE,DET,W (5/9)
2176561,Jeret Smith,WR,KC,W (5/9)
2079276,DaeSean Hamilton,WR,HOU,W (5/9)
2237679,Jaydon Mickens,WR,JAC,W (5/9)
3116876,Austin Walter,RB,NYJ,W (5/9)
2137198,Justin Watson,WR,KC,W (5/9)
2865212,Caleb Huntley,RB,ATL,W (5/9)
26650288,Mike Strachan,WR,IND,W (5/9)
2185867,Arthur Williams,WR,NYJ,W (5/9)
2180626,Tyron Johnson,WR,LV,W (5/9)
3116589,Juwann Winfree,WR,GB,W (5/9)
2000079,Mike Davis,RB,ATL,W (5/9)
2252278,Antoine Wesley,WR,ARI,W (5/9)
3117269,Damarea Crockett,RB,DEN,W (5/9)
2185055,Kyle Markway,TE,LAR,W (5/9)
2139965,Ito Smith,RB,DAL,W (5/9)
2131476,Kalen Ballage,RB,PIT,W (5/9)
2079176,Marcell Ateman,WR,LV,W (5/9)
2057695,Ryan Griffin,TE,CHI,W (5/9)
2871343,Justin Jefferson,WR,MIN,NN
2927083,Codey McElroy,TE,TB,W (5/9)
2239529,Cornell Powell,WR,KC,W (5/9)
2174914,Taylor Heinicke,QB,WAS,W (5/9)
2221829,Feleipe Franks,QB,ATL,W (5/9)
3117134,Craig Reynolds,RB,DET,W (5/9)
2180829,Kyler Murray,QB,ARI,NN
2820084,Greg Ward,WR,PHI,W (5/9)
3169147,Rachaad White,RB,TB,W (5/9)
2181212,Marcus Green,WR,PHI,W (5/9)
2186342,Van Jefferson,WR,LAR,MWM
2061491,Devontae Booker,RB,NYG,W (5/9)
2964274,Greg Dulcich,TE,DEN,W (5/9)
2818622,Johnny Mundt,TE,MIN,W (5/9)
2167520,Chris Manhertz,TE,JAC,W (5/9)
2965963,Teagan Quitoriano,TE,HOU,W (5/9)
3117057,Preston Williams,WR,MIA,W (5/9)
3116783,Stephen Carlson,TE,CLE,W (5/9)
2132551,Dallas Goedert,TE,PHI,MAM
1853070,Marken Michel,WR,WAS,W (5/9)
2139620,JuJu Smith-Schuster,WR,KC,FRR
2080270,Zay Jones,WR,JAC,W (5/9)
2136567,Cole Herdman,TE,TEN,W (5/9)
1999329,Kalif Raymond,WR,DET,W (5/9)
2136748,Dalton Schultz,TE,DAL,VD
1850793,Darren Waller,TE,LV,W (5/9)
26653256,JaQuan Hardy,RB,DAL,W (5/9)
2142830,Alex Wesley,WR,CHI,W (5/9)
2251971,Malcolm Perry,WR,NE,W (5/9)
2866259,Khalil McClain,WR,MIA,W (5/9)
2251151,Dez Fitzpatrick,WR,TEN,W (5/9)
2240612,Josh Pederson,TE,KC,W (5/9)
2179376,Kendall Hinton,WR,DEN,W (5/9)
2144893,Rashaad Penny,RB,SEA,FRR
2760856,Curtis Hodges,TE,WAS,W (5/9)
2180077,James Morgan,QB,IND,W (5/9)
3123864,Garrett Wilson,WR,NYJ,W (5/9)
1114942,Matthew Stafford,QB,LAR,W (5/9)
2260977,Luke Farrell,TE,JAC,W (5/9)
2867522,Colby Parkinson,TE,SEA,W (5/9)
2060999,Logan Woodside,QB,TEN,W (5/9)
2081506,Jonnu Smith,TE,NE,W (5/9)
