Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
Geno Smith ,QB,SEA,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,297,100
Geoff Swaim ,TE,TEN,69,0,69,0,66,-,-,-,-,-,-,-,-,-,-,-,-,-,127,68
George Kittle ,TE,SF,0,0,91,94,88,-,-,-,-,-,-,-,-,-,-,-,-,-,157,89
George Pickens ,WR,PIT,71,85,76,70,76,-,-,-,-,-,-,-,-,-,-,-,-,-,242,76
Gerald Everett ,TE,LAC,66,67,75,66,65,-,-,-,-,-,-,-,-,-,-,-,-,-,232,67
Giovanni Ricci ,TE,CAR,23,31,51,46,29,-,-,-,-,-,-,-,-,-,-,-,-,-,105,36
Grant Calcaterra ,TE,PHI,0,0,24,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,17,24
Greg Dortch ,WR,ARI,91,71,81,36,3,-,-,-,-,-,-,-,-,-,-,-,-,-,217,57
Gunner Olszewski ,WR,PIT,14,14,5,14,0,-,-,-,-,-,-,-,-,-,-,-,-,-,29,12
Harrison Bryant ,TE,CLE,48,46,0,67,57,-,-,-,-,-,-,-,-,-,-,-,-,-,156,54
Hassan Haskins ,RB,TEN,0,50,7,0,3,-,-,-,-,-,-,-,-,-,-,-,-,-,34,19
Hayden Hurst ,TE,CIN,75,81,38,56,81,-,-,-,-,-,-,-,-,-,-,-,-,-,245,67
Hunter Henry ,TE,NE,77,50,70,84,98,-,-,-,-,-,-,-,-,-,-,-,-,-,232,75
Hunter Renfrow ,WR,LV,83,69,0,0,55,-,-,-,-,-,-,-,-,-,-,-,-,-,129,68
Ian Thomas ,TE,CAR,66,74,62,29,39,-,-,-,-,-,-,-,-,-,-,-,-,-,158,54
Ihmir Smith-Marsette ,WR,CHI,0,0,0,10,38,-,-,-,-,-,-,-,-,-,-,-,-,-,25,22
Irv Smith ,TE,MIN,31,56,51,64,63,-,-,-,-,-,-,-,-,-,-,-,-,-,186,54
Isaiah Hodgins ,WR,BUF,0,0,0,0,23,-,-,-,-,-,-,-,-,-,-,-,-,-,13,23
Isaiah Likely ,TE,BAL,45,36,33,0,23,-,-,-,-,-,-,-,-,-,-,-,-,-,81,34
Isaiah McKenzie ,WR,BUF,44,46,51,48,0,-,-,-,-,-,-,-,-,-,-,-,-,-,135,48
