Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,2025,3yr Avg,Proj,League
DST,MAM,Rams,LAR,SF,Thu  8:35pm ET,11,48.5,1,19,77%,49%,1.0,1,166.0,117.0,167.8,TRUFFLE
QB,MAM,Will Howard,PIT,ATL,Sun  1:00pm ET,9,41.5,---,18,2%,1%,3.0,2,0.0,0.0,12.48,TRUFFLE
RB,MAM,Emmett Johnson,KC,DEN,Mon  8:15pm ET,5,42.5,---,3,3%,1%,5.0,3,0.0,0.0,22.41,TRUFFLE
RB,MAM,Jaylen Wright,MIA,@LV,Sun  4:25pm ET,6,40.5,---,21,23%,3%,4.0,1,62.2,46.2,50.8,TRUFFLE
WR,MAM,Brandon Aiyuk,SF,@LAR,Thu  8:35pm ET,8,48.5,---,24,30%,1%,26.0,2,0.0,92.5,0.0,TRUFFLE
WR,MAM,KC Concepcion,CLE,@JAC,Sun  1:00pm ET,11,40.5,50,15,4%,1%,20.0,3,0.0,0.0,76.89,TRUFFLE
WR,MAM,Elijah Sarratt,BAL,@IND,Sun  1:00pm ET,13,49.5,---,27,2%,1%,3.0,3,0.0,0.0,21.43,TRUFFLE
TE,MAM,Colby Parkinson,LAR,SF,Thu  8:35pm ET,11,48.5,31,22,51%,27%,1.0,1,111.4,71.4,81.79,TRUFFLE
WR,MAM,Elic Ayomanor,TEN,NYJ,Sun  1:00pm ET,9,38.5,---,19,12%,2%,2.0,1,105.5,105.2,92.28,TRUFFLE
RB,MAM,Kendre Miller,NO,@DET,Sun  1:00pm ET,8,49.5,---,7,9%,1%,7.0,1,38.3,34.2,21.4,TRUFFLE
QB,MCM,Daniel Jones,IND,BAL,Sun  1:00pm ET,13,49.5,27,21,49%,9%,20.0,1,245.54,155.72,279.87,TRUFFLE
RB,MCM,Brashard Smith,KC,DEN,Mon  8:15pm ET,5,42.5,---,3,12%,1%,4.0,2,50.3,48.7,42.74,TRUFFLE
RB,MCM,Kyren Williams,LAR,SF,Thu  8:35pm ET,11,48.5,13,22,100%,94%,75.0,1,313.3,311.2,208.4,TRUFFLE
WR,MCM,Puka Nacua,LAR,SF,Thu  8:35pm ET,11,48.5,2,16,99%,99%,1.0,1,331.0,256.9,244.88,TRUFFLE
TE,MCM,Colston Loveland,CHI,@CAR,Sun  1:00pm ET,10,45.5,3,24,80%,51%,20.0,2,142.3,141.4,148.54,TRUFFLE
