Season,Week,TRUFFLE,Player,Pos,NFL,Pct,20+,40+,Avg,20+.1,Tar,TarPct,Avg.1,20+.2,40+.1,1Std Pct,Total,Avg.2,Total.1
2022,1,VD,David Montgomery,RB,CHI,0.0,0,0,1.5,0.0,4,23.5,8.0,0,0,33.3,50,6.00,6.0
2022,1,W (10/2),Anthony Schwartz,WR,CLE,0.0,0,0,10.0,0.0,2,5.9,19.0,0,0,100.0,39,5.90,5.9
2022,1,FRR,Dameon Pierce,RB,HOU,0.0,0,0,3.0,0.0,1,2.7,6.0,0,0,0.0,39,5.90,5.9
2022,1,W (10/2),Jamison Crowder,WR,BUF,0.0,0,0,0.0,0.0,4,12.9,9.3,0,0,100.0,28,5.80,5.8
2022,1,VD,Brandon Aiyuk,WR,SF,0.0,0,0,7.0,0.0,3,10.7,20.0,1,0,50.0,47,5.70,5.7
2022,1,W (10/2),Braxton Berrios,WR,NYJ,0.0,0,0,0.0,0.0,6,10.2,7.4,0,0,40.0,37,5.70,5.7
2022,1,MCM,Alexander Mattison,RB,MIN,0.0,0,0,4.5,0.0,0,0.0,0.0,0,0,0.0,36,5.60,5.6
2022,1,MWM,Adam Thielen,WR,MIN,0.0,0,0,0.0,0.0,4,12.5,12.0,1,0,66.7,36,5.60,5.6
2022,1,W (10/2),Mike Strachan,WR,IND,0.0,0,0,0.0,0.0,2,4.0,18.0,1,0,100.0,36,5.60,5.6
2022,1,MCM,Dak Prescott,QB,DAL,48.3,1,0,5.5,0.0,0,0.0,0.0,0,0,0.0,145,5.46,5.46
2022,1,W (10/2),Jonnu Smith,TE,NE,0.0,0,0,0.0,0.0,4,13.3,11.0,0,0,66.7,33,5.30,5.3
2022,1,W (10/2),Albert Okwuegbunam,TE,DEN,0.0,0,0,0.0,0.0,6,14.3,6.6,0,0,40.0,33,5.30,5.3
2022,1,W (10/2),Juwan Johnson,TE,NO,0.0,0,0,0.0,0.0,5,14.7,21.5,1,0,50.0,43,5.30,5.3
2022,1,W (10/2),Chris Moore,WR,HOU,0.0,0,0,0.0,0.0,3,8.1,10.3,0,0,66.7,31,5.10,5.1
2022,1,GF,Kendrick Bourne,WR,NE,0.0,0,0,0.0,0.0,1,3.3,41.0,1,1,100.0,41,5.10,5.1
2022,1,GF,Christian Watson,WR,GB,0.0,0,0,7.0,0.0,4,10.3,17.0,1,0,50.0,41,5.10,5.1
2022,1,W (10/2),Zach Gentry,TE,PIT,0.0,0,0,0.0,0.0,2,5.3,20.0,1,0,50.0,40,5.00,5.0
2022,1,WLW,CeeDee Lamb,WR,DAL,0.0,0,0,0.0,0.0,11,26.2,14.5,0,0,100.0,29,4.90,4.9
2022,1,CC,Tyler Lockett,WR,SEA,0.0,0,0,0.0,0.0,4,14.3,9.3,0,0,66.7,28,4.80,4.8
2022,1,W (10/2),Josiah Deguara,TE,GB,0.0,0,0,0.0,0.0,2,5.1,14.0,0,0,100.0,28,4.80,4.8
2022,1,W (10/2),Khadarel Hodge,WR,ATL,0.0,0,0,0.0,0.0,3,9.1,12.7,0,0,33.3,38,4.80,4.8
2022,1,FRR,Rhamondre Stevenson,RB,NE,0.0,0,0,3.1,0.0,2,6.7,1.0,0,0,0.0,27,4.70,4.7
2022,1,W (10/6),Samaje Perine,RB,CIN,0.0,0,0,4.0,0.0,5,9.4,11.0,0,0,33.3,37,4.70,4.7
2022,1,WLW,Tee Higgins,WR,CIN,0.0,0,0,0.0,0.0,2,3.8,13.5,0,0,100.0,27,4.70,4.7
2022,1,MWM,Robert Tonyan,TE,GB,0.0,0,0,0.0,0.0,5,12.8,12.0,1,0,33.3,36,4.60,4.6
2022,1,W (10/2),Mo Alie-Cox,TE,IND,0.0,0,0,0.0,0.0,2,4.0,13.0,0,0,100.0,26,4.60,4.6
2022,1,MAM,Chris Godwin,WR,TB,0.0,0,0,0.0,0.0,3,11.1,11.7,1,0,33.3,35,4.50,4.5
