Season,Week,TRUFFLE,Pos,Player,NFL,Opp,OpRk,PaCmp,PaAtt,PaYd,PaTD,PaInt,RuAtt,RuYd,RuTD,RuFD,Tar,Rec,ReYd,ReTD,ReFD,FL,Avg,FPts
2025,7,MWM,WR,Cooper Kupp,SEA,HOU,8,0,1,0,0,1,0,0,0,0,1,1,32,0,1,0,2.20,2.20
2025,7,MWM,RB,Tank Bigsby,PHI,@MIN,14,0,0,0,0,0,1,11,0,1,1,1,-1,0,0,0,2.10,2.10
2025,7,MWM,RB,Jerome Ford,CLE,MIA,29,0,0,0,0,0,1,0,0,0,2,2,10,0,1,0,2.00,2.00
2025,7,MWM,RB,Nick Chubb,HOU,@SEA,10,0,0,0,0,0,5,16,0,0,3,1,-5,0,0,0,1.60,1.60
2025,7,MWM,TE,Mark Andrews,BAL,BYE,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,MWM,TE,George Kittle,SF,ATL,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.00,0.00
2025,7,MWM,QB,Russell Wilson,NYG,@DEN,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,MWM,RB,Joe Mixon,HOU,@SEA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,MWM,WR,Christian Watson,GB,@ARI,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,MWM,DST,Lions,DET,TB,12,,,,,,,,,,,,,,,,16.00,16.00
2025,7,NN,RB,Quinshon Judkins,CLE,MIA,29,0,0,0,0,0,25,84,3,5,0,0,0,0,0,0,31.40,31.40
2025,7,NN,QB,Dak Prescott,DAL,WAS,27,21,30,264,3,0,5,7,0,1,0,0,0,0,0,0,24.26,24.26
2025,7,NN,RB,Kyle Monangai,CHI,NO,25,0,0,0,0,0,13,81,1,6,3,2,13,0,1,0,22.40,22.40
2025,7,NN,RB,Zach Charbonnet,SEA,HOU,12,0,0,0,0,0,12,49,2,4,2,2,6,0,0,0,21.50,21.50
2025,7,NN,TE,Jake Ferguson,DAL,WAS,21,0,0,0,0,0,0,0,0,0,7,7,29,2,3,0,17.90,17.90
2025,7,NN,TE,Theo Johnson,NYG,@DEN,14,0,0,0,0,0,0,0,0,0,7,3,66,1,2,0,14.60,14.60
2025,7,NN,QB,Carson Wentz,MIN,PHI,18,26,42,313,0,2,4,28,0,2,0,0,0,0,0,0,13.32,13.32
