Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,Prd. 1,Avg,Proj
QB,MB,Matthew Stafford,LAR,@DET,Sun  8:20pm ET,6,53.5,14,30,74%,20%,21,2,14.68,14.68,15.15
RB,MB,Aaron Jones,MIN,@NYG,Sun  1:00pm ET,6,42,20,26,100%,76%,14,2,22.90,22.90,8.90
RB,MB,Bijan Robinson,ATL,PIT,Sun  1:00pm ET,12,42.5,3,19,100%,100%,143,3,19.10,19.10,14.31
WR,MB,Marvin Harrison,ARI,@BUF,Sun  1:00pm ET,11,46,9,6,100%,96%,45,3,0.40,0.40,9.11
WR,MB,Cooper Kupp,LAR,@DET,Sun  8:20pm ET,6,53.5,11,30,100%,98%,33,2,25.00,25.00,11.11
TE,MB,Travis Kelce,KC,BAL,Thu  8:20pm ET,6,46,1,12,100%,99%,47,2,5.40,5.40,8.11
WR,MB,Amon-Ra St Brown,DET,LAR,Sun  8:20pm ET,5,53.5,2,26,100%,100%,93,4,1.30,1.30,12.52
RB,MB,Zamir White,LV,@LAC,Sun  4:05pm ET,10,40.5,21,22,100%,66%,16,2,3.60,3.60,7.60
QB,MB,Kyler Murray,ARI,@BUF,Sun  1:00pm ET,11,46,7,6,98%,66%,51,2,17.18,17.18,15.98
DST,MB,Buccaneers,TB,WAS,Sun  4:25pm ET,11,42,14,30,43%,35%,1,2,3.00,3.00,9.70
RB,MB,Isaac Guerendo,SF,NYJ,Mon  8:15pm ET,9,43.5,---,25,5%,1%,3,3,0.00,0.00,1.50
WR,MB,Javon Baker,NE,@CIN,Sun  1:00pm ET,14,41,---,25,3%,1%,5,3,0.00,0.00,0.00
RB,MB,Ty Chandler,MIN,@NYG,Sun  1:00pm ET,6,42,42,26,70%,2%,4,2,6.20,6.20,5.50
RB,MB,Ray Davis,BUF,ARI,Sun  1:00pm ET,12,46,43,32,55%,2%,1,4,4.70,4.70,6.70
RB,MB,Khalil Herbert,CHI,TEN,Sun  1:00pm ET,7,43,---,12,47%,1%,2,2,1.40,1.40,5.60
QB,MB,Will Levis,TEN,@CHI,Sun  1:00pm ET,5,43,21,13,31%,2%,9,4,8.68,8.68,9.73
WR,MB,Josh Palmer,LAC,LV,Sun  4:05pm ET,5,40.5,39,11,77%,15%,1,2,2.50,2.50,6.71
RB,MB,Tyrone Tracy,NYG,MIN,Sun  1:00pm ET,11,42,45,11,42%,1%,1,2,0.70,0.70,5.00
QB,MB,Bryce Young,CAR,@NO,Sun  1:00pm ET,11,41.5,---,9,20%,2%,10,3,10.64,10.64,11.67
QB,NBB,Josh Allen,BUF,ARI,Sun  1:00pm ET,12,46,1,28,100%,100%,199,3,35.18,35.18,27.35
RB,NBB,Gus Edwards,LAC,LV,Sun  4:05pm ET,5,40.5,34,24,95%,18%,4,2,3.80,3.80,8.40
RB,NBB,D'Andre Swift,CHI,TEN,Sun  1:00pm ET,7,43,24,12,100%,51%,39,2,6.00,6.00,7.50
WR,NBB,Mike Evans,TB,WAS,Sun  4:25pm ET,11,42,5,31,100%,99%,43,2,22.10,22.10,11.52
WR,NBB,Chris Godwin,TB,WAS,Sun  4:25pm ET,11,42,29,31,96%,58%,3,2,21.30,21.30,8.61
TE,NBB,Kyle Pitts,ATL,PIT,Sun  1:00pm ET,12,42.5,9,23,97%,79%,16,2,9.60,9.60,7.11
WR,NBB,Terry McLaurin,WAS,@TB,Sun  4:25pm ET,14,42,27,23,97%,57%,12,2,2.70,2.70,8.11
WR,NBB,Jayden Reed,GB,@PHI,Fri  8:15pm ET,10,49.5,35,32,97%,46%,8,4,33.10,33.10,7.61
QB,NBB,Trevor Lawrence,JAC,@MIA,Sun  1:00pm ET,12,49.5,11,24,93%,36%,65,4,12.28,12.28,17.33
DST,NBB,Bills,BUF,ARI,Sun  1:00pm ET,12,46,15,21,93%,85%,4,2,6.00,6.00,10.30
RB,NBB,Blake Corum,LAR,@DET,Sun  8:20pm ET,6,53.5,46,2,90%,3%,5,3,0.00,0.00,5.60
RB,NBB,Will Shipley,PHI,GB,Fri  8:15pm ET,5,49.5,---,23,8%,1%,3,3,0.00,0.00,1.60
WR,NBB,Brian Thomas,JAC,@MIA,Sun  1:00pm ET,12,49.5,43,19,85%,15%,10,3,13.70,13.70,7.41
RB,NBB,Nick Chubb,CLE,DAL,Sun  4:25pm ET,10,42,---,18,97%,1%,41,1,0.00,0.00,0.00
WR,NBB,Gabe Davis,JAC,@MIA,Sun  1:00pm ET,12,49.5,---,19,36%,3%,2,2,9.20,9.20,6.11
TE,NBB,Dallas Goedert,PHI,GB,Fri  8:15pm ET,5,49.5,11,28,87%,43%,4,2,4.10,4.10,6.41
TE,NBB,David Njoku,CLE,DAL,Sun  4:25pm ET,10,42,10,11,95%,67%,10,2,5.40,5.40,7.11
WR,NBB,Khalil Shakir,BUF,ARI,Sun  1:00pm ET,12,46,40,18,84%,19%,14,4,12.20,12.20,6.41
WR,NBB,Jameson Williams,DET,LAR,Sun  8:20pm ET,5,53.5,41,26,84%,18%,5,2,23.40,23.40,7.71
QB,PCP,Joe Burrow,CIN,NE,Sun  1:00pm ET,12,41,12,5,100%,78%,93,2,9.06,9.06,16.27
RB,PCP,Trey Benson,ARI,@BUF,Sun  1:00pm ET,11,46,48,14,87%,3%,5,3,2.80,2.80,6.80
RB,PCP,Kyren Williams,LAR,@DET,Sun  8:20pm ET,6,53.5,9,2,100%,99%,96,2,16.40,16.40,12.60
WR,PCP,AJ Brown,PHI,GB,Fri  8:15pm ET,5,49.5,4,17,100%,100%,79,3,22.90,22.90,11.42
WR,PCP,CeeDee Lamb,DAL,@CLE,Sun  4:25pm ET,7,42,6,4,100%,100%,126,4,12.60,12.60,11.52
TE,PCP,Pat Freiermuth,PIT,@ATL,Sun  1:00pm ET,9,42.5,14,29,74%,24%,3,2,4.70,4.70,5.91
WR,PCP,Keon Coleman,BUF,ARI,Sun  1:00pm ET,12,46,46,18,91%,26%,10,3,7.10,7.10,8.01
WR,PCP,Garrett Wilson,NYJ,@SF,Mon  8:15pm ET,12,43.5,8,20,100%,94%,34,4,0.00,0.00,8.01
QB,PCP,Geno Smith,SEA,DEN,Sun  4:05pm ET,10,42.5,19,19,42%,12%,3,1,18.84,18.84,18.12
DST,PCP,Ravens,BAL,@KC,Thu  8:20pm ET,14,46,17,8,100%,72%,7,4,4.00,4.00,7.60
TE,PCP,TJ Hockenson,MIN,@NYG,Sun  1:00pm ET,6,42,---,4,73%,1%,7,4,0.00,0.00,0.00
RB,PCP,Braelon Allen,NYJ,@SF,Mon  8:15pm ET,12,43.5,---,4,44%,1%,3,3,0.00,0.00,4.50
RB,PCP,Rico Dowdle,DAL,@CLE,Sun  4:25pm ET,7,42,38,5,89%,5%,5,2,5.20,5.20,6.80
RB,PCP,Ezekiel Elliott,DAL,@CLE,Sun  4:25pm ET,7,42,40,5,85%,4%,3,2,13.90,13.90,4.60
QB,PCP,Daniel Jones,NYG,MIN,Sun  1:00pm ET,11,42,---,18,17%,2%,1,4,6.94,6.94,14.61
TE,PCP,Luke Musgrave,GB,@PHI,Fri  8:15pm ET,10,49.5,22,18,55%,9%,3,4,0.00,0.00,4.51
RB,PCP,Dameon Pierce,HOU,@IND,Sun  1:00pm ET,14,47.5,---,27,13%,1%,3,2,2.60,2.60,3.90
WR,PCP,Rashee Rice,KC,BAL,Thu  8:20pm ET,6,46,17,2,98%,65%,6,4,15.30,15.30,7.41
RB,PCP,Tyjae Spears,TEN,@CHI,Sun  1:00pm ET,5,43,35,21,92%,8%,7,2,6.20,6.20,6.50
QB,PP,Justin Herbert,LAC,LV,Sun  4:05pm ET,5,40.5,23,7,87%,22%,72,3,10.36,10.36,16.73
RB,PP,Josh Jacobs,GB,@PHI,Fri  8:15pm ET,10,49.5,5,10,100%,97%,50,3,15.40,15.40,12.30
RB,PP,Christian McCaffrey,SF,NYJ,Mon  8:15pm ET,9,43.5,1,25,100%,100%,102,3,0.00,0.00,15.41
WR,PP,Davante Adams,LV,@LAC,Sun  4:05pm ET,10,40.5,23,29,100%,95%,16,3,8.90,8.90,10.11
WR,PP,Amari Cooper,CLE,DAL,Sun  4:25pm ET,10,42,24,8,100%,83%,11,3,3.60,3.60,10.22
TE,PP,Mark Andrews,BAL,@KC,Thu  8:20pm ET,14,46,3,2,100%,89%,32,2,2.40,2.40,6.92
RB,PP,David Montgomery,DET,LAR,Sun  8:20pm ET,5,53.5,19,1,100%,77%,42,2,21.30,21.30,9.40
RB,PP,Devin Singletary,NYG,MIN,Sun  1:00pm ET,11,42,33,11,96%,20%,3,2,7.20,7.20,6.40
QB,PP,Kirk Cousins,ATL,PIT,Sun  1:00pm ET,12,42.5,---,14,83%,18%,11,2,6.20,6.20,15.46
DST,PP,Chiefs,KC,BAL,Thu  8:20pm ET,6,46,18,15,89%,65%,1,2,5.00,5.00,8.20
WR,PP,Malachi Corley,NYJ,@SF,Mon  8:15pm ET,12,43.5,---,20,7%,1%,3,3,0.00,0.00,3.10
WR,PP,Calvin Ridley,TEN,@CHI,Sun  1:00pm ET,5,43,30,13,98%,35%,4,4,7.00,7.00,7.21
WR,PP,Marquise Brown,KC,BAL,Thu  8:20pm ET,6,46,---,2,83%,1%,7,2,0.00,0.00,0.00
WR,PP,Romeo Doubs,GB,@PHI,Fri  8:15pm ET,10,49.5,---,32,70%,7%,7,3,7.00,7.00,6.21
TE,PP,Isaiah Likely,BAL,@KC,Thu  8:20pm ET,14,46,---,2,56%,7%,7,3,22.10,22.10,4.91
RB,PP,MarShawn Lloyd,GB,@PHI,Fri  8:15pm ET,10,49.5,---,10,61%,1%,5,3,0.00,0.00,6.60
QB,PP,Brock Purdy,SF,NYJ,Mon  8:15pm ET,9,43.5,20,3,98%,31%,68,2,0.00,0.00,14.23
WR,PP,Courtland Sutton,DEN,@SEA,Sun  4:05pm ET,14,42.5,37,22,90%,27%,3,4,5.80,5.80,8.01
QB,PP,JJ McCarthy,MIN,@NYG,Sun  1:00pm ET,6,42,---,12,6%,1%,35,3,0.00,0.00,0.00
QB,RR,CJ Stroud,HOU,@IND,Sun  1:00pm ET,14,47.5,5,15,99%,95%,133,2,18.66,18.66,19.18
RB,RR,Najee Harris,PIT,@ATL,Sun  1:00pm ET,9,42.5,29,6,100%,64%,20,2,10.90,10.90,8.90
RB,RR,Joe Mixon,HOU,@IND,Sun  1:00pm ET,14,47.5,18,27,100%,98%,50,2,33.80,33.80,12.20
WR,RR,Justin Jefferson,MIN,@NYG,Sun  1:00pm ET,6,42,3,28,100%,100%,111,2,13.90,13.90,12.71
WR,RR,George Pickens,PIT,@ATL,Sun  1:00pm ET,9,42.5,31,7,100%,73%,23,3,12.50,12.50,8.21
"QB,TE",RR,Taysom Hill,NO,CAR,Sun  1:00pm ET,12,41.5,12,10,49%,17%,1,2,7.60,7.60,8.69
WR,RR,Diontae Johnson,CAR,@NO,Sun  1:00pm ET,11,41.5,36,9,93%,22%,4,3,3.90,3.90,6.21
RB,RR,Rachaad White,TB,WAS,Sun  4:25pm ET,11,42,14,29,100%,97%,52,2,13.60,13.60,10.81
QB,RR,Tua Tagovailoa,MIA,JAC,Sun  1:00pm ET,6,49.5,10,26,96%,55%,50,2,19.62,19.62,16.95
DST,RR,Browns,CLE,DAL,Sun  4:25pm ET,10,42,6,2,97%,79%,1,2,2.00,2.00,8.90
WR,RR,Jordan Addison,MIN,@NYG,Sun  1:00pm ET,6,42,---,28,81%,9%,5,4,5.50,5.50,7.11
WR,RR,Jalen McMillan,TB,WAS,Sun  4:25pm ET,11,42,---,31,10%,1%,3,3,10.20,10.20,4.51
TE,RR,Noah Fant,SEA,DEN,Sun  4:05pm ET,10,42.5,19,32,11%,2%,1,2,1.10,1.10,4.11
TE,RR,Cade Otton,TB,WAS,Sun  4:25pm ET,11,42,---,7,14%,2%,1,2,0.50,0.50,4.11
QB,RR,Baker Mayfield,TB,WAS,Sun  4:25pm ET,11,42,17,32,61%,23%,9,3,30.66,30.66,18.90
QB,RR,Michael Penix,ATL,PIT,Sun  1:00pm ET,12,42.5,---,14,9%,1%,5,3,0.00,0.00,0.28
WR,RR,Adam Thielen,CAR,@NO,Sun  1:00pm ET,11,41.5,---,9,45%,3%,1,2,6.90,6.90,4.51
WR,RR,Mike Williams,NYJ,@SF,Mon  8:15pm ET,12,43.5,---,20,51%,2%,1,2,0.00,0.00,5.61
RB,RR,Jonathon Brooks,CAR,@NO,Sun  1:00pm ET,11,41.5,---,8,89%,1%,20,3,0.00,0.00,0.00
QB,SBS,Lamar Jackson,BAL,@KC,Thu  8:20pm ET,14,46,4,17,100%,91%,201,4,32.12,32.12,17.10
RB,SBS,Jerome Ford,CLE,DAL,Sun  4:25pm ET,10,42,25,18,98%,47%,6,3,14.90,14.90,9.41
RB,SBS,Jonathan Taylor,IND,HOU,Sun  1:00pm ET,14,47.5,4,17,100%,100%,101,2,14.80,14.80,14.30
WR,SBS,Stefon Diggs,HOU,@IND,Sun  1:00pm ET,14,47.5,25,12,100%,87%,39,2,18.90,18.90,10.11
WR,SBS,Christian Kirk,JAC,@MIA,Sun  1:00pm ET,12,49.5,26,19,96%,51%,5,4,4.00,4.00,8.71
TE,SBS,Cole Kmet,CHI,TEN,Sun  1:00pm ET,7,43,21,3,74%,20%,6,2,0.40,0.40,6.01
WR,SBS,Deebo Samuel,SF,NYJ,Mon  8:15pm ET,9,43.5,14,1,100%,90%,51,3,0.00,0.00,7.81
WR,SBS,Christian Watson,GB,@PHI,Fri  8:15pm ET,10,49.5,33,32,96%,31%,17,4,8.30,8.30,8.82
QB,SBS,Jayden Daniels,WAS,@TB,Sun  4:25pm ET,14,42,13,21,96%,38%,40,3,36.16,36.16,16.22
DST,SBS,Cowboys,DAL,@CLE,Sun  4:25pm ET,7,42,3,29,100%,92%,3,2,19.00,19.00,10.00
RB,SBS,Austin Ekeler,WAS,@TB,Sun  4:25pm ET,14,42,39,3,97%,19%,16,1,9.20,9.20,7.90
RB,SBS,Chuba Hubbard,CAR,@NO,Sun  1:00pm ET,11,41.5,23,8,86%,19%,2,2,2.40,2.40,7.90
WR,SBS,Troy Franklin,DEN,@SEA,Sun  4:05pm ET,14,42.5,---,22,8%,1%,3,3,0.00,0.00,0.00
TE,SBS,Zach Ertz,WAS,@TB,Sun  4:25pm ET,14,42,20,31,28%,5%,1,2,3.80,3.80,4.91
WR,SBS,Rashod Bateman,BAL,@KC,Thu  8:20pm ET,14,46,---,5,13%,1%,1,3,7.30,7.30,4.11
RB,SBS,Antonio Gibson,NE,@CIN,Sun  1:00pm ET,14,41,47,20,62%,3%,1,2,1.80,1.80,6.40
WR,SBS,Andrei Iosivas,CIN,NE,Sun  1:00pm ET,12,41,---,14,10%,2%,1,2,4.60,4.60,3.21
QB,SBS,Russell Wilson,PIT,@ATL,Sun  1:00pm ET,9,42.5,---,22,16%,1%,1,2,0.00,0.00,0.00
