Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,Prd. 1,Avg,Proj
WR,ELP,Khalil Shakir,BUF,ARI,Sun  1:00pm ET,12,46,40,18,84%,19%,25,2,12.20,12.20,6.41
WR,ELP,Jameson Williams,DET,LAR,Sun  8:20pm ET,5,53.5,41,26,84%,18%,40,1,23.40,23.40,7.71
QB,ELP,Kirk Cousins,ATL,PIT,Sun  1:00pm ET,12,42.5,---,14,83%,18%,2,1,6.20,6.20,15.46
DST,ELP,49ers,SF,NYJ,Mon  8:15pm ET,9,43.5,2,30,100%,95%,5,3,0.00,0.00,10.20
RB,ELP,Audric Estime,DEN,@SEA,Sun  4:05pm ET,14,42.5,---,31,19%,1%,3,3,2.40,2.40,4.60
RB,ELP,Khalil Herbert,CHI,TEN,Sun  1:00pm ET,7,43,---,12,47%,1%,1,2,1.40,1.40,5.60
RB,ELP,Tyrone Tracy,NYG,MIN,Sun  1:00pm ET,11,42,45,11,42%,1%,1,2,0.70,0.70,5.00
WR,ELP,Demario Douglas,NE,@CIN,Sun  1:00pm ET,14,41,---,25,29%,3%,2,2,2.20,2.20,6.30
WR,ELP,Xavier Legette,CAR,@NO,Sun  1:00pm ET,11,41.5,---,9,31%,1%,5,3,5.50,5.50,3.10
WR,ELP,Marvin Mims,DEN,@SEA,Sun  4:05pm ET,14,42.5,---,22,9%,1%,5,2,0.00,0.00,3.50
WR,ELP,Jalen Nailor,MIN,@NYG,Sun  1:00pm ET,6,42,---,28,2%,1%,1,2,9.10,9.10,5.81
WR,ELP,Jordan Whittington,LAR,@DET,Sun  8:20pm ET,6,53.5,---,30,4%,1%,1,2,0.00,0.00,1.00
TE,ELP,Theo Johnson,NYG,MIN,Sun  1:00pm ET,11,42,---,13,6%,1%,1,2,2.80,2.80,2.60
RB,ELP,Nick Chubb,CLE,DAL,Sun  4:25pm ET,10,42,---,18,97%,1%,57,2,0.00,0.00,0.00
WR,ELP,Odell Beckham,MIA,JAC,Sun  1:00pm ET,6,49.5,---,21,8%,1%,1,1,0.00,0.00,0.00
QB,FRR,Patrick Mahomes,KC,BAL,Thu  8:20pm ET,6,46,3,2,100%,95%,101,1,15.14,15.14,16.79
RB,FRR,Isiah Pacheco,KC,BAL,Thu  8:20pm ET,6,46,13,9,100%,97%,75,3,17.80,17.80,10.80
RB,FRR,Rachaad White,TB,WAS,Sun  4:25pm ET,11,42,14,29,100%,97%,5,1,13.60,13.60,10.81
WR,FRR,Ja'Marr Chase,CIN,NE,Sun  1:00pm ET,12,41,13,14,100%,90%,60,2,9.20,9.20,8.91
