SznPlPos,PlPos,SznLgTrf,LgTrf,TrfLg,Season,Round,Pick,RoundPick,TrfTm,Player,Pos,Salary,Extension
2022_JeremyRuckert_TE,JeremyRuckert_TE,2022_TRUFFLE_MWM,TRUFFLE_MWM,TRUFFLE,2022,3,34,10,MWM,Jeremy Ruckert,TE,3,5
2022_CalvinAustinIII_WR,CalvinAustinIII_WR,2022_TRUFFLE_VD,TRUFFLE_VD,TRUFFLE,2022,3,35,11,VD,Calvin Austin III,WR,3,30
2022_KhalilShakir_WR,KhalilShakir_WR,2022_TRUFFLE_WLW,TRUFFLE_WLW,TRUFFLE,2022,3,36,12,WLW,Khalil Shakir,WR,3,30
2023_BijanRobinson_RB,BijanRobinson_RB,2023_TRUFFLE_MWM,TRUFFLE_MWM,TRUFFLE,2023,1,1,1,MWM,Bijan Robinson,RB,50,70
2023_JahmyrGibbs_RB,JahmyrGibbs_RB,2023_TRUFFLE_AFL,TRUFFLE_AFL,TRUFFLE,2023,1,2,2,AFL,Jahmyr Gibbs,RB,45,70
2023_AnthonyRichardson_QB,AnthonyRichardson_QB,2023_TRUFFLE_VD,TRUFFLE_VD,TRUFFLE,2023,1,3,3,VD,Anthony Richardson,QB,40,70
2023_BryceYoung_QB,BryceYoung_QB,2023_TRUFFLE_CRB,TRUFFLE_CRB,TRUFFLE,2023,1,4,4,CRB,Bryce Young,QB,35,70
2023_CJStroud_QB,CJStroud_QB,2023_TRUFFLE_WLW,TRUFFLE_WLW,TRUFFLE,2023,1,5,5,WLW,CJ Stroud,QB,30,70
2023_JaxonSmith-Njigba_WR,JaxonSmith-Njigba_WR,2023_TRUFFLE_GF,TRUFFLE_GF,TRUFFLE,2023,1,6,6,GF,Jaxon Smith-Njigba,WR,25,60
2023_QuentinJohnston_WR,QuentinJohnston_WR,2023_TRUFFLE_CC,TRUFFLE_CC,TRUFFLE,2023,1,7,7,CC,Quentin Johnston,WR,20,50
2023_JordanAddison_WR,JordanAddison_WR,2023_TRUFFLE_MCM,TRUFFLE_MCM,TRUFFLE,2023,1,8,8,MCM,Jordan Addison,WR,15,50
2023_ZayFlowers_WR,ZayFlowers_WR,2023_TRUFFLE_AFL,TRUFFLE_AFL,TRUFFLE,2023,1,9,9,AFL,Zay Flowers,WR,15,50
2023_ZachCharbonnet_RB,ZachCharbonnet_RB,2023_TRUFFLE_NN,TRUFFLE_NN,TRUFFLE,2023,1,10,10,NN,Zach Charbonnet,RB,10,60
2023_DeVonAchane_RB,DeVonAchane_RB,2023_TRUFFLE_CRB,TRUFFLE_CRB,TRUFFLE,2023,1,11,11,CRB,DeVon Achane,RB,10,60
2023_JonathanMingo_WR,JonathanMingo_WR,2023_TRUFFLE_MWM,TRUFFLE_MWM,TRUFFLE,2023,1,12,12,MWM,Jonathan Mingo,WR,10,50
