Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
John Bates ,TE,WAS,55,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66,44
Johnny Mundt ,TE,MIN,65,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68,55
Jonathan Taylor ,RB,IND,76,74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,107,75
Jonathan Williams ,RB,WAS,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
Jonnu Smith ,TE,NE,68,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,62
Jordan Love ,QB,GB,8,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,8
Josh Allen ,QB,BUF,100,76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,111,87
Josh Gordon ,WR,TEN,0,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,32
Josh Jacobs ,RB,LV,60,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83,66
Josh Reynolds ,WR,DET,80,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,99,76
Joshua Kelley ,RB,LAC,27,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,26
Joshua Palmer ,WR,LAC,75,91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,118,83
Josiah Deguara ,TE,GB,25,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,25
JuJu Smith-Schuster ,WR,KC,66,74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,88,69
Julio Jones ,WR,TB,52,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,52
Justice Hill ,RB,BAL,20,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,28
Justin Fields ,QB,CHI,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,99,100
Justin Herbert ,QB,LAC,100,99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,141,99
Justin Jefferson ,WR,MIN,92,98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,117,95
Justin Watson ,WR,KC,23,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,24
Juwan Johnson ,TE,NO,74,78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98,76
Juwann Winfree ,WR,GB,15,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,15
KJ Hamler ,WR,DEN,61,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,61
KJ Osborn ,WR,MIN,68,77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89,72
KaVontae Turpin ,WR,DAL,3,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,5
Kadarius Toney ,WR,NYG,12,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,26
Kalif Raymond ,WR,DET,12,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,11
Kareem Hunt ,RB,CLE,56,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76,52
Keenan Allen ,WR,LAC,33,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,33
Ken Walker ,RB,SEA,0,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,24
Kendall Hinton ,WR,DEN,0,76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55,76
Kendrick Bourne ,WR,NE,4,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,21
Kenneth Gainwell ,RB,PHI,30,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,28
Kenny Golladay ,WR,NYG,77,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,77
Kenny Yeboah ,TE,NYJ,0,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3
Kenyan Drake ,RB,BAL,59,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,43
KhaDarel Hodge ,WR,ATL,27,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,24
Khalil Herbert ,RB,CHI,29,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,25
Khalil Shakir ,WR,BUF,0,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,35
Kirk Cousins ,QB,MIN,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,123,100
Ko Kieft ,TE,TB,0,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,36
Kyle Juszczyk ,RB,SF,37,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65,45
Kyle Philips ,WR,TEN,48,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,36
Kyle Pitts ,TE,ATL,84,93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,120,88
Kylen Granson ,TE,IND,55,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,55
Kyler Murray ,QB,ARI,88,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,144,95
