Season,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
2022,Caleb Huntley ,RB,ATL,0,5,0,22,24,34,23,36,21,14,4,5,9,bye,3,0,0,0,120,17
2022,Cam Akers ,RB,LAR,18,43,50,38,31,0,bye,0,19,17,39,30,72,42,76,75,78,100,428,48
2022,Cam Sims ,WR,WAS,10,11,0,0,59,72,66,80,44,33,26,0,8,bye,0,7,17,18,301,33
2022,Cameron Brate ,TE,TB,68,57,89,34,0,47,0,0,0,45,bye,51,0,37,39,0,0,0,320,51
2022,Carson Wentz ,QB,WAS,100,100,100,100,100,100,0,0,0,0,0,0,0,bye,0,26,100,0,510,90
2022,Case Keenum ,QB,BUF,0,24,0,0,14,0,bye,0,0,0,0,0,0,0,0,0,0,0,24,19
2022,Cedrick Wilson ,WR,MIA,47,31,0,0,24,0,6,21,23,30,bye,43,20,39,22,26,15,0,217,27
2022,CeeDee Lamb ,WR,DAL,97,95,95,95,93,93,83,84,bye,90,65,80,72,96,93,85,85,87,1015,87
2022,Chad Henne ,QB,KC,7,0,0,0,0,0,9,bye,0,0,0,0,0,0,0,0,0,12,18,9
2022,Charlie Kolar ,TE,BAL,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,44,34,44
2022,Charlie Woerner ,TE,SF,0,0,0,38,36,27,0,0,bye,0,0,24,0,10,0,0,0,0,82,26
2022,Chase Claypool ,WR,Multi,92,92,93,73,91,86,85,80,35,31,42,67,63,0,0,0,37,71,662,70
2022,Chase Daniel ,QB,LAC,0,0,0,0,0,0,0,bye,0,5,0,0,0,0,0,0,20,19,29,15
2022,Chase Edmonds ,RB,Multi,63,51,44,28,15,40,29,24,0,19,5,0,0,0,0,42,59,37,297,35
2022,Chigoziem Okonkwo ,TE,TEN,15,29,0,24,20,bye,46,41,35,32,45,33,58,49,60,46,25,43,368,38
2022,Chris Conley ,WR,Multi,14,0,0,0,0,0,0,0,18,0,0,0,0,48,50,0,0,0,82,33
2022,Chris Evans ,RB,CIN,0,0,3,5,0,5,0,4,1,bye,0,6,3,0,0,0,0,0,17,4
2022,Chris Godwin ,WR,TB,31,0,0,83,52,89,94,90,92,89,bye,96,86,91,89,90,85,47,880,81
2022,Chris Manhertz ,TE,JAC,0,0,0,30,35,57,34,38,54,0,bye,0,27,42,0,0,0,0,209,40
2022,Chris Moore ,WR,HOU,49,65,53,56,0,bye,55,0,73,53,59,59,55,80,87,91,84,91,644,68
2022,Chris Myarick ,TE,NYG,23,32,29,0,44,0,60,46,bye,23,0,36,12,6,0,0,0,0,212,32
2022,Chris Olave ,WR,NO,74,75,77,68,40,0,76,58,90,77,49,67,69,bye,49,0,61,60,607,66
2022,Chris Streveler ,QB,NYJ,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,53,0,0,31,53
2022,Christian Kirk ,WR,JAC,91,90,92,94,96,92,94,78,75,92,bye,90,86,85,89,81,83,96,991,88
2022,Christian McCaffrey ,RB,Multi,81,91,80,87,86,86,29,81,0,65,66,63,82,70,89,75,85,48,777,73
2022,Christian Watson ,WR,GB,66,32,0,25,29,0,0,9,23,84,80,92,92,bye,87,38,60,87,507,56
2022,Chuba Hubbard ,RB,CAR,6,3,11,6,0,9,46,0,0,18,40,42,bye,32,63,46,53,69,264,32
2022,Clyde Edwards-Helaire ,RB,KC,39,44,40,56,43,42,27,bye,17,6,8,0,0,0,0,0,0,0,224,32
2022,Cody Hollister ,WR,TEN,12,0,0,0,31,bye,37,55,49,0,0,7,0,0,0,0,0,0,111,31
2022,Cody White ,WR,PIT,0,0,0,0,0,0,0,0,bye,0,0,14,0,0,0,0,0,0,10,14
2022,Colby Parkinson ,TE,SEA,36,0,37,36,0,35,38,36,40,27,bye,0,36,31,39,41,81,79,398,43
2022,Cole Beasley ,WR,Multi,0,0,14,6,0,0,0,0,0,0,0,0,0,0,14,9,0,0,30,11
2022,Cole Kmet ,TE,CHI,83,85,92,98,90,93,96,95,97,93,91,100,100,bye,100,95,88,94,971,94
2022,Cole Turner ,TE,WAS,0,0,0,0,51,93,36,0,0,0,38,32,28,bye,0,29,0,0,203,42
2022,Colt McCoy ,QB,ARI,0,0,0,0,0,0,0,0,0,97,79,0,bye,96,54,0,0,0,229,82
2022,Connor Heyward ,TE,PIT,2,7,0,0,13,47,7,9,bye,20,5,14,22,20,6,19,17,34,167,16
2022,Cooper Kupp ,WR,LAR,100,98,100,100,98,97,bye,95,100,67,0,0,0,0,0,0,0,0,530,95
2022,Cooper Rush ,QB,DAL,23,100,100,100,100,100,0,0,bye,0,11,0,0,0,0,0,0,9,338,66
2022,Cordarrelle Patterson ,RB,ATL,65,59,61,29,0,0,0,0,39,38,49,58,46,bye,50,37,50,28,382,47
2022,Corey Clement ,RB,ARI,0,0,0,0,0,0,0,0,0,0,0,2,bye,4,0,0,43,69,72,27
2022,Corey Davis ,WR,NYJ,68,79,87,74,76,85,22,0,0,bye,0,68,81,12,0,97,84,77,617,70
2022,Courtland Sutton ,WR,DEN,95,92,86,94,93,100,91,95,bye,92,92,93,43,0,0,79,81,94,882,89
2022,Craig Reynolds ,RB,DET,0,15,17,32,47,bye,34,8,2,0,0,0,0,0,0,0,0,0,103,22
2022,Curtis Samuel ,WR,WAS,71,89,83,78,90,86,77,74,75,64,60,60,66,bye,59,66,64,53,850,71
2022,D'Andre Swift ,RB,DET,67,51,41,0,0,bye,0,55,16,31,31,34,51,36,40,56,35,39,393,42
2022,D'Ernest Johnson ,RB,CLE,0,0,0,1,0,13,0,11,bye,18,0,0,0,0,5,3,0,0,35,8
2022,D'Onta Foreman ,RB,CAR,13,5,0,8,4,23,54,68,43,68,39,53,bye,47,30,44,38,25,349,37
2022,DJ Chark ,WR,DET,81,66,79,0,0,bye,0,0,0,0,16,73,84,86,76,74,68,65,534,70
2022,DJ Moore ,WR,CAR,100,97,98,96,93,100,100,96,98,89,98,97,bye,96,96,96,98,92,978,96
2022,DJ Turner ,WR,LV,0,0,0,0,0,bye,9,9,0,3,0,0,0,7,0,0,0,0,16,7
2022,DK Metcalf ,WR,SEA,82,92,93,76,96,81,28,62,81,90,bye,91,87,91,95,91,82,83,893,82
2022,Dak Prescott ,QB,DAL,77,0,0,0,0,0,100,100,bye,100,89,100,96,100,100,100,100,91,821,96
2022,Dallas Goedert ,TE,PHI,92,84,64,90,96,99,bye,74,91,100,0,0,0,0,0,94,96,100,735,90
