Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,2025,3yr Avg,Proj
WR,LBC,Kyle Williams,NE,@SEA,Wed  8:20pm ET,11,44.5,---,4,7%,1%,5.0,2,46.4,48.7,34.05
DC,LBC,Michael Wilson Dead Cap,ARI,@LAC,Sun  4:25pm ET,14,46.5,---,3,0%,0%,1.0,1,0.0,0.0,0.0
RB,LC,Jadarian Price,SEA,NE,Wed  8:20pm ET,11,44.5,27,2,6%,2%,40.0,3,0.0,0.0,173.04
RB,LC,Jaylen Warren,PIT,ATL,Sun  1:00pm ET,9,41.5,30,16,97%,65%,11.0,2,242.3,190.2,153.95
WR,LC,Luther Burden,CHI,@CAR,Sun  1:00pm ET,10,45.5,19,12,44%,16%,5.0,2,111.8,109.7,145.89
WR,LC,Luke McCaffrey,WAS,@PHI,Sun  4:25pm ET,7,47.5,---,8,6%,1%,5.0,1,46.3,35.0,61.52
TE,LC,Jake Ferguson,DAL,@NYG,Sun  8:20pm ET,14,48.5,18,10,88%,48%,1.0,3,136.1,111.8,104.42
WR,LC,Malachi Fields,NYG,DAL,Sun  8:20pm ET,8,48.5,---,32,2%,1%,3.0,3,0.0,0.0,42.25
WR,LC,Rashid Shaheed,SEA,NE,Wed  8:20pm ET,11,44.5,---,11,51%,10%,1.0,1,117.9,100.5,116.32
WR,LC,Xavier Worthy,KC,DEN,Mon  8:15pm ET,5,42.5,47,2,77%,23%,15.0,1,93.9,136.6,106.71
DST,LC,49ers,SF,@LAR,Thu  8:35pm ET,8,48.5,19,3,61%,32%,1.0,1,86.0,92.0,104.4
RB,LC,Zach Charbonnet,SEA,NE,Wed  8:20pm ET,11,44.5,43,2,92%,36%,4.0,2,216.4,166.0,104.61
WR,LC,Travis Hunter,JAC,CLE,Sun  1:00pm ET,7,40.5,---,5,32%,1%,40.0,2,47.8,44.1,42.55
WR,LC,Ted Hurst,TB,@CIN,Sun  1:00pm ET,10,52.5,---,9,2%,1%,5.0,3,0.0,0.0,66.98
WR,LC,DK Metcalf,PIT,ATL,Sun  1:00pm ET,9,41.5,35,22,86%,40%,31.0,2,166.2,174.0,133.88
WR,LC,Tory Horton,SEA,NE,Wed  8:20pm ET,11,44.5,---,11,13%,1%,1.0,3,53.1,49.7,86.78
QB,MB,Jaxson Dart,NYG,DAL,Sun  8:20pm ET,8,48.5,12,32,91%,36%,10.0,2,279.88,275.04,312.26
RB,MB,Adam Randall,BAL,@IND,Sun  1:00pm ET,13,49.5,---,11,2%,1%,3.0,3,0.0,0.0,89.25
RB,MB,Bijan Robinson,ATL,@PIT,Sun  1:00pm ET,11,41.5,2,9,100%,99%,143.0,1,388.8,342.0,319.94
WR,MB,Marvin Harrison,ARI,@LAC,Sun  4:25pm ET,14,46.5,32,3,90%,20%,45.0,1,116.8,144.6,135.71
WR,MB,Amon-Ra St Brown,DET,NO,Sun  1:00pm ET,6,49.5,4,10,99%,92%,93.0,2,279.0,280.92,205.64
WR,MB,Skyler Bell,BUF,@HOU,Sun  1:00pm ET,7,44.5,---,7,2%,1%,5.0,3,0.0,0.0,23.03
WR,MB,Carnell Tate,TEN,NYJ,Sun  1:00pm ET,9,38.5,33,19,4%,2%,30.0,3,0.0,0.0,99.93
RB,MB,Ray Davis,BUF,@HOU,Sun  1:00pm ET,7,44.5,54,5,16%,2%,1.0,2,70.4,101.4,19.61
WR,MB,Kendrick Bourne,ARI,@LAC,Sun  4:25pm ET,14,46.5,---,3,21%,3%,1.0,1,82.1,70.9,56.15
RB,MB,Jacory Croskey-Merritt,WAS,@PHI,Sun  4:25pm ET,7,47.5,32,26,67%,16%,34.0,2,175.4,175.8,136.9
RB,MB,Isaac Guerendo,SF,@LAR,Thu  8:35pm ET,8,48.5,---,10,4%,1%,3.0,1,0.0,52.4,26.7
WR,MB,Tre Harris,LAC,ARI,Sun  4:25pm ET,7,46.5,---,17,7%,1%,5.0,2,57.4,59.6,36.54
RB,MB,Jarquez Hunter,LAR,SF,Thu  8:35pm ET,11,48.5,---,22,4%,1%,3.0,2,0.0,0.0,23.0
QB,NBB,Trevor Lawrence,JAC,CLE,Sun  1:00pm ET,7,40.5,9,4,92%,57%,65.0,2,378.18,264.16,304.85
RB,NBB,Bhayshul Tuten,JAC,CLE,Sun  1:00pm ET,7,40.5,24,14,57%,11%,5.0,2,104.9,102.4,182.0
WR,NBB,Jayden Reed,GB,@MIN,Sun  4:25pm ET,11,45.5,44,1,66%,20%,8.0,2,38.5,130.0,113.66
WR,NBB,Jordyn Tyson,NO,@DET,Sun  1:00pm ET,8,49.5,42,30,4%,1%,35.0,3,0.0,0.0,110.12
TE,NBB,Marlin Klein,HOU,BUF,Sun  1:00pm ET,8,44.5,---,2,1%,1%,5.0,3,0.0,0.0,44.07
WR,NBB,Khalil Shakir,BUF,@HOU,Sun  1:00pm ET,7,44.5,59,7,80%,28%,14.0,2,123.7,121.7,102.84
WR,NBB,Brian Thomas,JAC,CLE,Sun  1:00pm ET,7,40.5,30,5,89%,42%,10.0,1,125.8,187.4,138.28
RB,NBB,Will Shipley,PHI,WAS,Sun  4:25pm ET,10,47.5,---,29,4%,1%,3.0,1,14.5,17.7,16.0
WR,NBB,Caleb Douglas,MIA,@LV,Sun  4:25pm ET,6,40.5,---,20,2%,1%,3.0,3,0.0,0.0,61.88
WR,NBB,Tetairoa McMillan,CAR,CHI,Sun  1:00pm ET,5,45.5,21,31,98%,64%,30.0,2,196.4,195.3,149.02
RB,NBB,Blake Corum,LAR,SF,Thu  8:35pm ET,11,48.5,37,22,74%,19%,5.0,1,161.2,103.0,115.0
QB,NBB,Josh Allen,BUF,@HOU,Sun  1:00pm ET,7,44.5,1,2,100%,89%,199.0,1,410.62,432.42,360.64
TE,NBB,Harold Fannin,CLE,@JAC,Sun  1:00pm ET,11,40.5,8,23,87%,60%,3.0,2,148.4,149.3,133.73
QB,PCP,Daniel Jones,IND,BAL,Sun  1:00pm ET,13,49.5,27,21,49%,9%,1.0,2,245.54,155.72,279.88
RB,PCP,Ashton Jeanty,LV,MIA,Sun  4:25pm ET,13,40.5,9,24,100%,89%,50.0,2,247.1,245.9,231.86
RB,PCP,Kenneth Walker,KC,DEN,Mon  8:15pm ET,5,42.5,11,3,99%,65%,66.0,1,219.0,208.4,179.41
WR,PCP,AJ Brown,NE,@SEA,Wed  8:20pm ET,11,44.5,11,4,98%,88%,79.0,1,189.3,212.1,186.87
WR,PCP,CeeDee Lamb,DAL,@NYG,Sun  8:20pm ET,14,48.5,5,23,98%,93%,126.0,2,168.9,248.8,173.09
TE,PCP,Kenyon Sadiq,NYJ,@TEN,Sun  1:00pm ET,13,38.5,23,21,4%,1%,10.0,3,0.0,0.0,86.86
WR,PCP,Romeo Doubs,NE,@SEA,Wed  8:20pm ET,11,44.5,54,4,74%,23%,4.0,1,151.4,141.1,103.26
WR,PCP,Garrett Wilson,NYJ,@TEN,Sun  1:00pm ET,13,38.5,23,29,70%,8%,34.0,2,81.5,155.1,150.78
QB,PCP,Tua Tagovailoa,ATL,@PIT,Sun  1:00pm ET,11,41.5,26,24,30%,4%,41.0,1,161.8,205.38,217.37
DST,PCP,Ravens,BAL,@IND,Sun  1:00pm ET,13,49.5,11,9,50%,27%,7.0,2,111.0,135.0,130.0
QB,PCP,Fernando Mendoza,LV,MIA,Sun  4:25pm ET,13,40.5,32,23,3%,1%,45.0,3,0.0,0.0,177.09
QB,PCP,Shedeur Sanders,CLE,@JAC,Sun  1:00pm ET,11,40.5,---,19,28%,7%,3.0,2,92.0,85.58,152.4
RB,PCP,DJ Giddens,IND,BAL,Sun  1:00pm ET,13,49.5,---,17,6%,1%,1.0,3,14.6,10.7,21.4
WR,PCP,Chris Bell,MIA,@LV,Sun  4:25pm ET,6,40.5,---,20,3%,1%,5.0,3,0.0,0.0,49.07
WR,PCP,Chris Brazzell,CAR,CHI,Sun  1:00pm ET,5,45.5,---,31,2%,1%,3.0,3,0.0,0.0,0.0
TE,PCP,TJ Hockenson,MIN,GB,Sun  4:25pm ET,6,45.5,26,12,46%,12%,7.0,2,83.8,109.9,75.11
RB,PCP,Braelon Allen,NYJ,@TEN,Sun  1:00pm ET,13,38.5,59,13,16%,1%,3.0,1,18.3,50.7,81.72
RB,PCP,Trey Benson,ARI,@LAC,Sun  4:25pm ET,14,46.5,---,8,49%,1%,5.0,1,28.4,33.7,16.4
RB,PCP,Nick Chubb,HOU,BUF,Sun  1:00pm ET,8,44.5,---,25,40%,4%,26.0,1,96.9,60.7,17.2
RB,PCP,Devin Neal,NO,@DET,Sun  1:00pm ET,8,49.5,---,7,54%,16%,5.0,2,58.0,50.6,34.4
WR,PCP,Keon Coleman,BUF,@HOU,Sun  1:00pm ET,7,44.5,---,7,32%,3%,10.0,1,89.4,95.7,44.88
QB,PCP,Quinn Ewers,MIA,@LV,Sun  4:25pm ET,6,40.5,---,14,9%,3%,1.0,1,33.78,29.24,12.53
TE,PCP,Luke Musgrave,GB,@MIN,Sun  4:25pm ET,11,45.5,---,4,5%,1%,3.0,2,36.3,27.9,37.55
QB,PP,Justin Herbert,LAC,ARI,Sun  4:25pm ET,7,46.5,8,17,91%,32%,72.0,1,320.88,286.38,297.82
RB,PP,Omarion Hampton,LAC,ARI,Sun  4:25pm ET,7,46.5,10,30,99%,69%,35.0,2,141.7,134.3,198.46
RB,PP,Josh Jacobs,GB,@MIN,Sun  4:25pm ET,11,45.5,14,15,99%,83%,50.0,1,264.1,265.2,219.73
WR,PP,Rashee Rice,KC,DEN,Mon  8:15pm ET,5,42.5,10,2,92%,40%,6.0,2,127.1,116.1,199.48
WR,PP,Courtland Sutton,DEN,@KC,Mon  8:15pm ET,10,42.5,36,6,97%,78%,3.0,2,197.7,193.12,145.13
TE,PP,Travis Kelce,KC,DEN,Mon  8:15pm ET,5,42.5,10,18,90%,57%,24.0,1,162.2,160.3,119.37
WR,PP,Jordan Addison,MIN,GB,Sun  4:25pm ET,6,45.5,38,21,83%,31%,5.0,2,121.1,165.7,123.19
WR,PP,Jayden Higgins,HOU,BUF,Sun  1:00pm ET,8,44.5,55,13,72%,30%,5.0,2,116.5,115.0,90.58
WR,PP,Makai Lemon,PHI,WAS,Sun  4:25pm ET,10,47.5,50,28,4%,1%,25.0,3,0.0,0.0,98.23
DST,PP,Cowboys,DAL,@NYG,Sun  8:20pm ET,14,48.5,16,21,56%,36%,2.0,1,63.0,115.0,91.8
QB,PP,Riley Leonard,IND,BAL,Sun  1:00pm ET,13,49.5,---,21,2%,1%,15.0,1,33.3,28.04,0.0
RB,PP,Kaytron Allen,WAS,@PHI,Sun  4:25pm ET,7,47.5,---,26,3%,1%,3.0,3,0.0,0.0,27.31
WR,PP,Denzel Boston,CLE,@JAC,Sun  1:00pm ET,11,40.5,56,15,3%,1%,5.0,3,0.0,0.0,73.78
TE,PP,Isaiah Likely,NYG,DAL,Sun  8:20pm ET,8,48.5,9,13,34%,13%,7.0,1,45.7,77.4,126.61
WR,PP,Calvin Ridley,TEN,NYJ,Sun  1:00pm ET,9,38.5,---,19,16%,1%,4.0,2,43.3,137.8,111.68
RB,PP,Emanuel Wilson,SEA,NE,Wed  8:20pm ET,11,44.5,---,2,59%,6%,10.0,1,117.1,73.5,77.91
RB,PP,MarShawn Lloyd,GB,@MIN,Sun  4:25pm ET,11,45.5,49,15,8%,1%,15.0,1,0.0,0.0,23.0
QB,PP,JJ McCarthy,MIN,GB,Sun  4:25pm ET,6,45.5,---,10,35%,6%,35.0,1,137.38,131.12,13.05
QB,PP,Jalen Milroe,SEA,NE,Wed  8:20pm ET,11,44.5,---,5,4%,1%,5.0,2,-1.6,-2.0,12.48
RB,PP,Jaydon Blue,DAL,@NYG,Sun  8:20pm ET,14,48.5,---,28,17%,3%,3.0,2,26.4,22.5,21.4
QB,RR,Baker Mayfield,TB,@CIN,Sun  1:00pm ET,10,52.5,21,27,93%,58%,9.0,1,298.92,329.12,291.73
RB,RR,Breece Hall,NYJ,@TEN,Sun  1:00pm ET,13,38.5,15,13,98%,66%,66.0,1,241.66,259.92,203.07
RB,RR,Christian McCaffrey,SF,@LAR,Thu  8:35pm ET,8,48.5,4,10,100%,94%,102.0,1,433.6,303.4,244.46
