Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,2021,3yr Avg,Proj
TE,MWM,CJ Uzomah,NYJ,BAL,Sun  1:00pm,10,45,---,27,31%,11%,1,1,103.30,59.40,60.60
WR,MWM,Van Jefferson,LAR,BUF,Thu  8:20pm,7,52,---,1,85%,43%,3,1,151.20,98.10,81.90
DST,MWM,Chiefs,KC,@ARI,Sun  4:25pm,8,53,23,12,51%,29%,15,1,124.00,122.00,132.40
QB,NN,Kyler Murray,ARI,KC,Sun  4:25pm,13,53,6,31,99%,89%,83,1,325.48,357.78,324.69
RB,NN,Cam Akers,LAR,BUF,Thu  8:20pm,7,52,27,13,32%,8%,10,1,1.30,59.00,168.82
RB,NN,Tyler Allgeier,ATL,NO,Sun  1:00pm,14,41.5,40,1,3%,0%,5,3,0.00,0.00,133.75
WR,NN,Amari Cooper,CLE,@CAR,Sun  1:00pm,9,41.5,40,6,98%,81%,49,1,179.50,199.30,142.11
WR,NN,Justin Jefferson,MIN,GB,Sun  4:25pm,7,49,2,11,99%,95%,5,1,298.40,268.32,217.07
WR,NN,Christian Kirk,JAC,@WAS,Sun  1:00pm,11,44,37,25,91%,56%,2,1,175.62,148.14,122.54
TE,NN,Pat Freiermuth,PIT,@CIN,Sun  1:00pm,9,44.5,11,24,78%,42%,3,2,125.70,125.70,98.93
WR,NN,Treylon Burks,TEN,NYG,Sun  4:25pm,6,44,33,14,3%,0%,20,3,0.00,0.00,119.56
QB,NN,Trevor Lawrence,JAC,@WAS,Sun  1:00pm,11,44,19,32,38%,9%,50,2,220.04,220.04,255.78
DST,NN,Saints,NO,@ATL,Sun  1:00pm,14,41.5,9,28,88%,65%,1,1,122.00,121.00,158.80
QB,NN,Kyle Trask,TB,@DAL,Sun  8:20pm,11,52,---,4,2%,0%,4,2,0.00,0.00,13.53
QB,NN,Deshaun Watson,CLE,@CAR,Sun  1:00pm,9,41.5,---,10,19%,1%,62,2,0.00,248.48,230.34
TE,NN,Tyler Higbee,LAR,BUF,Thu  8:20pm,7,52,27,7,57%,22%,1,1,119.00,116.50,85.03
WR,NN,Tyquan Thornton,NE,@MIA,Sun  1:00pm,10,44.5,---,10,2%,0%,3,3,0.00,0.00,54.16
