Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,2023,3yr Avg,Proj
WR,CPC,Ja'Marr Chase,CIN,NE,Sun  1:00pm ET,12,42.5,3,14,98%,68%,84,2,226.80,242.50,192.78
RB,CPC,Tony Pollard,TEN,@CHI,Sun  1:00pm ET,5,43,23,21,93%,75%,48,2,235.70,226.20,152.21
QB,CPC,Sam Darnold,MIN,@NYG,Sun  1:00pm ET,6,41.5,30,12,8%,2%,2,2,27.68,94.14,233.91
DST,CPC,Jets,NYJ,@SF,Mon  8:15pm ET,12,44.5,5,1,95%,68%,2,2,164.00,96.00,161.70
QB,CPC,Drake Maye,NE,@CIN,Sun  1:00pm ET,14,42.5,---,23,5%,1%,10,3,0.00,0.00,127.32
TE,CPC,Ja'Tavion Sanders,CAR,@NO,Sun  1:00pm ET,11,40.5,28,17,3%,1%,3,3,0.00,0.00,44.07
WR,CPC,Brandin Cooks,DAL,@CLE,Sun  4:25pm ET,7,44,60,4,79%,37%,1,2,158.20,155.80,117.92
RB,CPC,JK Dobbins,LAC,LV,Sun  4:05pm ET,5,42.5,39,24,26%,4%,16,2,10.70,52.20,138.03
WR,CPC,Tee Higgins,CIN,NE,Sun  1:00pm ET,12,42.5,20,14,92%,53%,17,2,128.60,172.80,151.16
WR,CPC,Tyler Lockett,SEA,DEN,Sun  4:05pm ET,10,42,56,15,83%,39%,1,2,170.40,193.70,117.67
WR,CPC,Jakobi Meyers,LV,@LAC,Sun  4:05pm ET,10,42.5,54,29,82%,35%,1,2,196.58,168.18,122.90
RB,CPC,Brian Robinson,WAS,@TB,Sun  4:25pm ET,14,41.5,29,3,89%,21%,18,2,223.10,184.40,156.43
WR,CPC,Dontayvion Wicks,GB,@PHI,Fri  8:15pm ET,10,48.5,---,32,19%,3%,3,2,109.76,111.50,95.27
QB,DDD,Jared Goff,DET,LAR,Sun  8:20pm ET,5,51,16,29,93%,55%,71,2,294.80,263.80,289.12
RB,DDD,Bucky Irving,TB,WAS,Sun  4:25pm ET,11,41.5,48,29,8%,1%,3,3,0.00,0.00,90.34
RB,DDD,Kenneth Walker,SEA,DEN,Sun  4:05pm ET,10,42,13,30,96%,65%,76,2,225.60,220.70,184.83
WR,DDD,Adonai Mitchell,IND,HOU,Sun  1:00pm ET,14,48.5,---,10,7%,1%,5,3,0.00,0.00,96.52
WR,DDD,Malik Nabers,NYG,MIN,Sun  1:00pm ET,11,41.5,24,27,13%,8%,30,3,0.00,0.00,139.18
TE,DDD,Sam LaPorta,DET,LAR,Sun  8:20pm ET,5,51,1,26,100%,92%,66,2,201.30,203.70,140.88
RB,DDD,De'Von Achane,MIA,JAC,Sun  1:00pm ET,6,49,14,16,99%,82%,79,2,203.70,195.90,201.14
RB,DDD,Jahmyr Gibbs,DET,LAR,Sun  8:20pm ET,5,51,7,1,99%,93%,102,2,252.70,250.20,196.33
WR,DDD,Tank Dell,HOU,@IND,Sun  1:00pm ET,14,48.5,27,12,60%,15%,29,2,155.40,148.90,157.00
DST,DDD,Eagles,PHI,GB,Fri  8:15pm ET,5,48.5,6,3,92%,68%,1,2,116.00,112.00,131.20
WR,DDD,Ronnie Bell,SF,NYJ,Mon  8:15pm ET,9,44.5,---,1,1%,1%,1,2,29.80,30.90,37.45
RB,DDD,Tank Bigsby,JAC,@MIA,Sun  1:00pm ET,12,49,58,13,15%,1%,1,2,34.00,35.40,46.80
WR,DDD,Zay Flowers,BAL,@KC,Thu  8:20pm ET,14,46.5,34,5,94%,54%,21,2,172.00,171.10,148.00
TE,DDD,Mike Gesicki,CIN,NE,Sun  1:00pm ET,12,42.5,24,1,6%,1%,1,2,47.40,86.90,70.95
WR,DDD,Quentin Johnston,LAC,LV,Sun  4:05pm ET,5,42.5,---,11,30%,5%,1,2,76.00,77.80,86.91
RB,DDD,Jaleel McLaughlin,DEN,@SEA,Sun  4:05pm ET,14,42,47,31,36%,4%,1,2,96.70,95.10,91.85
RB,DDD,Kendre Miller,NO,CAR,Sun  1:00pm ET,12,40.5,---,28,16%,1%,1,2,48.40,40.80,89.22
WR,DDD,Tim Patrick,DEN,@SEA,Sun  4:05pm ET,14,42,---,22,3%,1%,1,2,0.00,46.50,105.10
QB,DDD,Deshaun Watson,CLE,DAL,Sun  4:25pm ET,10,44,22,8,27%,4%,10,2,96.80,61.58,276.01
QB,LBC,Anthony Richardson,IND,HOU,Sun  1:00pm ET,14,48.5,5,25,45%,15%,161,2,80.68,75.38,307.10
RB,LBC,Travis Etienne,JAC,@MIA,Sun  1:00pm ET,12,49,9,13,97%,90%,66,2,300.40,264.50,200.93
RB,LBC,Isiah Pacheco,KC,BAL,Thu  8:20pm ET,6,46.5,8,9,98%,55%,68,2,235.20,198.60,199.85
WR,LBC,Brandon Aiyuk,SF,NYJ,Mon  8:15pm ET,9,44.5,15,1,98%,83%,34,2,235.20,196.70,168.53
WR,LBC,Drake London,ATL,PIT,Sun  1:00pm ET,12,43,13,16,90%,47%,36,2,150.38,153.32,154.88
TE,LBC,Trey McBride,ARI,@BUF,Sun  1:00pm ET,11,48,4,8,91%,67%,21,2,142.50,93.40,120.25
RB,LBC,Raheem Mostert,MIA,JAC,Sun  1:00pm ET,6,49,27,16,94%,49%,15,2,307.70,162.90,178.98
WR,LBC,Michael Pittman,IND,HOU,Sun  1:00pm ET,14,48.5,29,10,95%,67%,16,2,194.20,192.20,138.56
QB,LBC,Aaron Rodgers,NYJ,@SF,Mon  8:15pm ET,12,44.5,20,11,27%,4%,8,2,0.00,190.28,239.47
DST,LBC,Steelers,PIT,@ATL,Sun  1:00pm ET,9,43,7,22,79%,55%,1,2,147.00,123.00,131.60
WR,LBC,Devontez Walker,BAL,@KC,Thu  8:20pm ET,14,46.5,---,5,2%,1%,3,3,0.00,0.00,23.03
TE,LBC,Brock Bowers,LV,@LAC,Sun  4:05pm ET,10,42.5,10,14,14%,7%,15,3,0.00,0.00,100.96
RB,LBC,Rhamondre Stevenson,NE,@CIN,Sun  1:00pm ET,14,42.5,20,20,80%,14%,27,2,151.70,171.20,146.21
TE,LBC,Evan Engram,JAC,@MIA,Sun  1:00pm ET,12,49,8,24,89%,71%,6,2,163.30,129.70,113.05
QB,LBC,Taysom Hill,NO,CAR,Sun  1:00pm ET,12,40.5,---,1,71%,25%,2,2,147.62,148.58,127.27
WR,LBC,Jerry Jeudy,CLE,DAL,Sun  4:25pm ET,10,44,---,8,64%,16%,1,2,115.80,122.60,119.21
QB,LBC,Bo Nix,DEN,@SEA,Sun  4:05pm ET,14,42,28,20,6%,1%,5,3,0.00,0.00,190.44
WR,LBC,Jaxon Smith-Njigba,SEA,DEN,Sun  4:05pm ET,10,42,44,15,74%,24%,5,2,115.80,114.20,105.88
WR,LBC,Michael Wilson,ARI,@BUF,Sun  1:00pm ET,11,48,---,6,17%,2%,1,2,105.50,102.70,99.85
QB,LC,Jalen Hurts,PHI,GB,Fri  8:15pm ET,5,48.5,1,16,100%,95%,180,2,424.82,413.12,380.87
RB,LC,Tyler Allgeier,ATL,PIT,Sun  1:00pm ET,12,43,52,19,56%,7%,11,2,165.90,183.30,105.45
RB,LC,James Conner,ARI,@BUF,Sun  1:00pm ET,11,48,22,14,93%,55%,19,2,242.50,249.20,183.09
WR,LC,Xavier Legette,CAR,@NO,Sun  1:00pm ET,11,40.5,---,9,6%,1%,5,3,0.00,0.00,82.30
WR,LC,Xavier Worthy,KC,BAL,Thu  8:20pm ET,6,46.5,42,2,13%,4%,15,3,0.00,0.00,127.28
TE,LC,Ben Sinnott,WAS,@TB,Sun  4:25pm ET,14,41.5,29,31,6%,1%,3,3,0.00,0.00,71.42
WR,LC,DeAndre Hopkins,TEN,@CHI,Sun  1:00pm ET,5,43,50,13,90%,62%,11,2,196.60,149.90,142.56
WR,LC,DK Metcalf,SEA,DEN,Sun  4:05pm ET,10,42,16,15,95%,81%,31,2,211.40,208.00,165.59
QB,LC,Patrick Mahomes,KC,BAL,Thu  8:20pm ET,6,46.5,2,2,99%,87%,200,2,307.72,382.42,329.28
DST,LC,49ers,SF,NYJ,Mon  8:15pm ET,9,44.5,2,28,100%,91%,1,2,155.00,137.00,140.10
RB,LC,Zach Charbonnet,SEA,DEN,Sun  4:05pm ET,10,42,45,30,70%,10%,4,2,112.60,110.60,79.71
RB,LC,Clyde Edwards-Helaire,KC,BAL,Thu  8:20pm ET,6,46.5,---,9,58%,12%,1,2,72.10,96.80,86.67
TE,LC,Hunter Henry,NE,@CIN,Sun  1:00pm ET,14,42.5,16,30,36%,7%,1,2,106.90,114.60,88.10
TE,LC,Juwan Johnson,NO,CAR,Sun  1:00pm ET,12,40.5,27,10,28%,8%,1,2,83.80,82.00,78.67
QB,LC,Gardner Minshew,LV,@LAC,Sun  4:05pm ET,10,42.5,32,27,51%,18%,1,2,203.30,84.16,190.93
TE,LC,Dalton Schultz,HOU,@IND,Sun  1:00pm ET,14,48.5,15,27,74%,27%,3,2,126.50,136.20,98.79
WR,LC,Rashid Shaheed,NO,CAR,Sun  1:00pm ET,12,40.5,52,3,54%,14%,1,2,131.60,110.70,119.49
TE,LC,Jonnu Smith,MIA,JAC,Sun  1:00pm ET,6,49,31,22,20%,5%,1,2,100.20,64.10,76.41
RB,LC,Jaylen Warren,PIT,@ATL,Sun  1:00pm ET,9,43,33,6,89%,35%,11,2,190.90,140.70,129.72
QB,MB,Matthew Stafford,LAR,@DET,Sun  8:20pm ET,6,51,17,30,86%,45%,21,2,247.90,226.12,256.69
RB,MB,Aaron Jones,MIN,@NYG,Sun  1:00pm ET,6,41.5,25,26,92%,54%,14,2,152.30,213.80,147.16
RB,MB,Bijan Robinson,ATL,PIT,Sun  1:00pm ET,12,43,3,19,99%,95%,143,2,262.30,260.50,248.24
WR,MB,Marvin Harrison,ARI,@BUF,Sun  1:00pm ET,11,48,9,6,17%,15%,45,3,0.00,0.00,174.74
WR,MB,Cooper Kupp,LAR,@DET,Sun  8:20pm ET,6,51,17,30,95%,78%,33,2,138.70,228.20,160.33
TE,MB,Travis Kelce,KC,BAL,Thu  8:20pm ET,6,46.5,3,12,97%,90%,47,2,176.40,232.90,163.45
WR,MB,Amon-Ra St Brown,DET,LAR,Sun  8:20pm ET,5,51,6,26,100%,99%,93,2,288.90,234.70,204.79
RB,MB,Zamir White,LV,@LAC,Sun  4:05pm ET,10,42.5,18,22,69%,46%,16,2,82.10,45.90,170.51
QB,MB,Kyler Murray,ARI,@BUF,Sun  1:00pm ET,11,48,8,6,86%,32%,51,2,161.36,230.78,298.84
DST,MB,Buccaneers,TB,WAS,Sun  4:25pm ET,11,41.5,19,30,53%,30%,1,2,146.00,124.00,142.30
RB,MB,Isaac Guerendo,SF,NYJ,Mon  8:15pm ET,9,44.5,---,25,2%,1%,3,3,0.00,0.00,24.01
WR,MB,Javon Baker,NE,@CIN,Sun  1:00pm ET,14,42.5,---,25,3%,1%,5,3,0.00,0.00,21.42
RB,MB,Ty Chandler,MIN,@NYG,Sun  1:00pm ET,6,41.5,44,26,76%,34%,4,2,107.00,51.70,103.71
RB,MB,Ray Davis,BUF,ARI,Sun  1:00pm ET,12,48,54,32,7%,1%,1,2,0.00,0.00,88.94
RB,MB,Khalil Herbert,CHI,TEN,Sun  1:00pm ET,7,43,59,12,59%,12%,2,2,126.50,119.40,93.54
QB,MB,Will Levis,TEN,@CHI,Sun  1:00pm ET,5,43,18,13,37%,8%,9,2,109.32,102.58,212.89
