RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,AGE,SOS SEASON,ECR VS. ADP
192,11,Donovan Peoples-Jones,DET,WR77,9,24,3 out of 5 stars,-
193,11,Khalil Shakir,BUF,WR78,13,23,2 out of 5 stars,-
194,12,Israel Abanikanda,NYJ,RB58,7,21,5 out of 5 stars,-
195,12,Clyde Edwards-Helaire,KC,RB59,10,24,4 out of 5 stars,-
196,12,Joshua Dobbs,MIN,QB35,13,28,5 out of 5 stars,-
197,12,Cedric Tillman,CLE,WR79,5,23,2 out of 5 stars,-
198,12,Zay Jones,JAC,WR80,9,28,3 out of 5 stars,-
199,12,Chuba Hubbard,CAR,RB60,7,24,2 out of 5 stars,-
200,12,Joshua Kelley,LAC,RB61,5,26,5 out of 5 stars,-
201,12,K.J. Osborn,MIN,WR81,13,26,3 out of 5 stars,-
202,12,Dawson Knox,BUF,TE25,13,27,3 out of 5 stars,-
203,12,Chase Claypool,MIA,WR82,10,25,3 out of 5 stars,-
204,12,John Metchie III,HOU,WR83,7,23,3 out of 5 stars,-
205,12,Jerick McKinnon,KC,RB62,10,31,4 out of 5 stars,-
206,12,Zamir White,LV,RB63,13,24,3 out of 5 stars,-
207,12,Zach Ertz,ARI,TE26,14,33,3 out of 5 stars,-
208,12,Tutu Atwell,LAR,WR84,10,24,3 out of 5 stars,-
209,12,Gardner Minshew II,IND,QB36,11,27,2 out of 5 stars,-
210,12,Samaje Perine,DEN,RB64,9,28,3 out of 5 stars,-
211,12,Kareem Hunt,CLE,RB65,5,28,2 out of 5 stars,-
212,12,Michael Carter,ARI,RB66,14,24,2 out of 5 stars,-
213,12,Isaiah Likely,BAL,TE27,13,23,3 out of 5 stars,-
214,12,Rashaad Penny,PHI,RB67,10,27,3 out of 5 stars,-
215,12,Hunter Renfrow,LV,WR85,13,27,4 out of 5 stars,-
216,12,Sean Tucker,TB,RB68,5,22,2 out of 5 stars,-
217,12,Ezekiel Elliott,NE,RB69,11,28,5 out of 5 stars,-
218,12,Ryan Tannehill,TEN,QB37,7,35,3 out of 5 stars,-
219,12,Hayden Hurst,CAR,TE28,7,30,4 out of 5 stars,-
220,12,Jelani Woods,IND,TE29,11,25,4 out of 5 stars,-
221,12,Zack Moss,IND,RB70,11,25,3 out of 5 stars,-
222,12,Pierre Strong Jr.,CLE,RB71,5,24,2 out of 5 stars,-
223,12,Trey Lance,DAL,QB38,7,23,5 out of 5 stars,-
224,12,Juwan Johnson,NO,TE30,11,27,3 out of 5 stars,-
225,12,Taylor Heinicke,ATL,QB39,11,30,4 out of 5 stars,-
226,12,Kendrick Bourne,NE,WR86,11,28,4 out of 5 stars,-
227,12,Daniel Bellinger,NYG,TE31,13,23,4 out of 5 stars,-
228,12,Noah Fant,SEA,TE32,5,26,3 out of 5 stars,-
229,12,Leonard Fournette,BUF,RB72,13,28,3 out of 5 stars,-
230,12,Marquez Valdes-Scantling,KC,WR87,10,29,3 out of 5 stars,-
231,12,Demario Douglas,NE,WR88,11,22,4 out of 5 stars,-
232,12,Terrace Marshall Jr.,CAR,WR89,7,23,4 out of 5 stars,-
233,12,Tyler Conklin,NYJ,TE33,7,28,4 out of 5 stars,-
234,13,Isaiah Hodgins,NYG,WR90,13,25,3 out of 5 stars,-
235,13,Eric Gray,NYG,RB73,13,24,4 out of 5 stars,-
236,13,Trey Palmer,TB,WR91,5,22,4 out of 5 stars,-
237,13,Evan Hull,IND,RB74,11,23,3 out of 5 stars,-
238,13,Tyquan Thornton,NE,WR92,11,23,4 out of 5 stars,-
239,13,Hendon Hooker,DET,QB40,9,25,3 out of 5 stars,-
240,13,Robert Woods,HOU,WR93,7,31,3 out of 5 stars,-
241,13,Logan Thomas,WAS,TE34,14,32,3 out of 5 stars,-
242,13,Irv Smith Jr.,CIN,TE35,7,25,2 out of 5 stars,-
243,13,Van Jefferson,ATL,WR94,11,27,4 out of 5 stars,-
244,13,Jonnu Smith,ATL,TE36,11,28,3 out of 5 stars,-
245,13,Deuce Vaughn,DAL,RB75,7,22,3 out of 5 stars,-
246,13,Parris Campbell,NYG,WR95,13,26,3 out of 5 stars,-
247,13,Mike Gesicki,NE,TE37,11,28,3 out of 5 stars,-
248,13,Zonovan Knight,DET,RB76,9,22,4 out of 5 stars,-
249,13,Jalen Tolbert,DAL,WR96,7,24,4 out of 5 stars,-
250,13,Darius Slayton,NYG,WR97,13,26,3 out of 5 stars,-
251,13,Kyle Philips,TEN,WR98,7,24,3 out of 5 stars,-
252,13,DeVante Parker,NE,WR99,11,30,4 out of 5 stars,-
253,13,Ty Chandler,MIN,RB77,13,25,3 out of 5 stars,-
254,13,Taysom Hill,NO,TE38,11,33,3 out of 5 stars,-
255,13,Kayshon Boutte,NE,WR100,11,21,4 out of 5 stars,-
256,13,Tyler Scott,CHI,WR101,13,22,4 out of 5 stars,-
257,13,Chris Rodriguez Jr.,WAS,RB78,14,23,3 out of 5 stars,-
258,13,A.T. Perry,NO,WR102,11,24,4 out of 5 stars,-
259,13,Xavier Hutchinson,HOU,WR103,7,23,3 out of 5 stars,-
260,13,Luke Schoonmaker,DAL,TE39,7,25,3 out of 5 stars,-
261,13,Matt Breida,NYG,RB79,13,28,4 out of 5 stars,-
262,13,Charlie Jones,CIN,WR104,7,25,3 out of 5 stars,-
263,13,DeWayne McBride,MIN,RB80,13,22,3 out of 5 stars,-
264,13,Keaontay Ingram,ARI,RB81,14,24,2 out of 5 stars,-
265,13,Kenny McIntosh,SEA,RB82,5,23,2 out of 5 stars,-
266,13,Parker Washington,JAC,WR105,9,21,3 out of 5 stars,-
267,13,Allen Robinson II,PIT,WR106,6,30,1 out of 5 stars,-
268,13,Josh Reynolds,DET,WR107,9,28,3 out of 5 stars,-
269,13,Chase Edmonds,TB,RB83,5,27,2 out of 5 stars,-
270,13,Calvin Austin III,PIT,WR108,6,24,1 out of 5 stars,-
271,13,Tucker Kraft,GB,TE40,6,23,4 out of 5 stars,-
272,13,Mecole Hardman Jr.,KC,WR109,10,25,3 out of 5 stars,-
273,13,D'Ernest Johnson,JAC,RB84,9,27,3 out of 5 stars,-
274,13,Malik Davis,DAL,RB85,7,25,3 out of 5 stars,-
275,13,Sam Darnold,SF,QB41,9,26,3 out of 5 stars,-
276,13,Deon Jackson,NYG,RB86,13,24,4 out of 5 stars,-
277,13,Isaiah Spiller,LAC,RB87,5,22,5 out of 5 stars,-
278,13,Cordarrelle Patterson,ATL,RB88,11,32,3 out of 5 stars,-
279,13,Latavius Murray,BUF,RB89,13,33,3 out of 5 stars,-
280,13,Jordan Mason,SF,RB90,9,24,2 out of 5 stars,-
281,13,Kevin Harris,NE,RB91,11,23,5 out of 5 stars,-
282,13,Darnell Washington,PIT,TE41,6,22,2 out of 5 stars,-
283,13,Justice Hill,BAL,RB92,13,26,2 out of 5 stars,-
284,13,Russell Gage,TB,WR110,5,27,4 out of 5 stars,-
285,14,Devin Duvernay,BAL,WR111,13,26,2 out of 5 stars,-
286,14,Dontayvion Wicks,GB,WR112,6,22,4 out of 5 stars,-
287,14,James Robinson,GB,RB93,6,25,2 out of 5 stars,-
288,14,Austin Hooper,LV,TE42,13,29,3 out of 5 stars,-
289,14,Raheem Blackshear,CAR,RB94,7,24,2 out of 5 stars,-
290,14,Brenton Strange,JAC,TE43,9,22,2 out of 5 stars,-
291,14,Chris Evans,CIN,RB95,7,26,2 out of 5 stars,-
292,14,Jacoby Brissett,WAS,QB42,14,30,4 out of 5 stars,-
293,14,Darrell Henderson Jr.,LAR,RB96,10,26,3 out of 5 stars,-
294,14,Boston Scott,PHI,RB97,10,28,3 out of 5 stars,-
295,14,Ke'Shawn Vaughn,TB,RB98,5,26,2 out of 5 stars,-
296,14,JaMycal Hasty,NE,RB99,11,27,5 out of 5 stars,-
297,14,Andrei Iosivas,CIN,WR113,7,24,3 out of 5 stars,-
298,14,David Bell,CLE,WR114,5,22,2 out of 5 stars,-
299,14,Dorian Thompson-Robinson,CLE,QB43,5,24,2 out of 5 stars,-
300,14,Noah Gray,KC,TE44,10,24,4 out of 5 stars,-
301,14,Foster Moreau,NO,TE45,11,26,3 out of 5 stars,-
