Season,Week,Player,Pos,NFL,Cmp%,Pa20,Pa40,RuYPC,Ru20,Tar,Tar%,ReYPC,Re20,Re40,ReFD%,TotYd,Avg,FPts
2023,12,Mo Alie-Cox,TE,IND,0,0,0,0,0,1,2.4,30,1,0,100,30,4,4
2023,12,Cole Turner,TE,WAS,0,0,0,0,0,1,2.3,29,1,0,100,29,3.9,3.9
2023,12,Ty Johnson,RB,BUF,0,0,0,3.2,0,0,0,0,0,0,0,19,3.9,3.9
2023,12,Cooper Kupp,WR,LAR,0,0,0,0,0,5,15.2,6,0,0,66.7,18,3.8,3.8
2023,12,Alec Pierce,WR,IND,0,0,0,0,0,6,14.6,6.8,0,0,25,27,3.7,3.7
2023,12,Byron Pringle,WR,WAS,0,0,0,0,0,2,4.5,13.5,0,0,50,27,3.7,3.7
2023,12,Elijah Higgins,TE,ARI,0,0,0,0,0,2,4.4,26,1,0,100,26,3.6,3.6
2023,12,Wan'Dale Robinson,WR,NYG,0,0,0,0,0,5,20,6.5,0,0,25,26,3.6,3.6
2023,12,Trenton Irwin,WR,CIN,0,0,0,0,0,1,3.8,25,1,0,100,25,3.5,3.5
2023,12,Elijah Moore,WR,CLE,0,0,0,0,0,9,21.4,14.7,1,0,33.3,44,3.4,3.4
2023,12,Jalen Brooks,WR,DAL,0,0,0,0,0,1,3.1,24,1,0,100,24,3.4,3.4
2023,12,Ray-Ray McCloud,WR,SF,0,0,0,0,0,1,3.2,23,1,0,100,23,3.3,3.3
2023,12,Demarcus Robinson,WR,LAR,0,0,0,0,0,2,6.1,6.5,0,0,100,13,3.3,3.3
2023,12,Tyler Boyd,WR,CIN,0,0,0,0,0,5,19.2,7.7,0,0,33.3,23,3.3,3.3
2023,12,Tyquan Thornton,WR,NE,0,0,0,3,0,5,14.3,9.5,0,0,50,22,3.2,3.2
2023,12,Will Dissly,TE,SEA,0,0,0,0,0,1,3.7,21,1,0,100,21,3.1,3.1
2023,12,Dalvin Cook,RB,NYJ,0,0,0,2,0,3,7.9,9.5,0,0,50,21,3.1,3.1
2023,12,Chris Rodriguez,RB,WAS,0,0,0,5.2,0,0,0,0,0,0,0,21,3.1,3.1
2023,12,Keith Kirkwood,WR,NO,0,0,0,0,0,3,7.9,10,0,0,50,20,3,3
2023,12,George Kittle,TE,SF,0,0,0,0,0,5,16.1,6.3,0,0,33.3,19,2.9,2.9
2023,12,Dameon Pierce,RB,HOU,0,0,0,2.8,0,1,2.8,4,0,0,0,18,2.8,2.8
2023,12,Tanner Hudson,TE,CIN,0,0,0,0,0,5,19.2,4.5,0,0,25,18,2.8,2.8
2023,12,Alex Erickson,WR,LAC,0,0,0,0,0,3,6.8,17,0,0,100,17,2.7,2.7
2023,12,Trey Palmer,WR,TB,0,0,0,0,0,5,16.1,4.2,0,0,25,17,2.7,2.7
2023,12,Andrei Iosivas,WR,CIN,0,0,0,0,0,2,7.7,16,0,0,100,16,2.6,2.6
2023,12,Darius Slayton,WR,NYG,0,0,0,0,0,3,12,8,0,0,50,16,2.6,2.6
2023,12,Amari Cooper,WR,CLE,0,0,0,0,0,6,14.3,8,0,0,50,16,2.6,2.6
2023,12,Matt Breida,RB,NYG,0,0,0,3,0,1,4,10,0,0,0,16,2.6,2.6
2023,12,Darrynton Evans,RB,MIA,0,0,0,8,0,0,0,0,0,0,0,16,2.6,2.6
2023,12,Xavier Gipson,WR,NYJ,0,0,0,0,0,2,5.3,7.5,0,0,50,15,2.5,2.5
2023,12,Emari Demercado,RB,ARI,0,0,0,5,0,0,0,0,0,0,0,15,2.5,2.5
2023,12,Logan Thomas,TE,WAS,0,0,0,0,0,4,9.1,7.5,0,0,50,15,2.5,2.5
2023,12,Ihmir Smith-Marsette,WR,CAR,0,0,0,0,0,1,3.2,14,0,0,100,14,2.4,2.4
2023,12,Austin Hooper,TE,LV,0,0,0,0,0,2,5.9,14,0,0,100,14,2.4,2.4
2023,12,Boston Scott,RB,PHI,0,0,0,7,0,1,3.2,0,0,0,0,14,2.4,2.4
2023,12,Jack Stoll,TE,PHI,0,0,0,0,0,2,6.5,14,0,0,100,14,2.4,2.4
2023,12,Joshua Kelley,RB,LAC,0,0,0,2.7,0,2,4.5,3,0,0,0,14,2.4,2.4
2023,12,Michael Gallup,WR,DAL,0,0,0,0,0,1,3.1,13,0,0,100,13,2.3,2.3
2023,12,Lil'Jordan Humphrey,WR,DEN,0,0,0,0,0,1,4.5,13,0,0,100,13,2.3,2.3
2023,12,Stephen Sullivan,TE,CAR,0,0,0,0,0,1,3.2,13,0,0,100,13,2.3,2.3
2023,12,Ameer Abdullah,RB,LV,0,0,0,11,0,1,2.9,2,0,0,0,13,2.3,2.3
2023,12,Van Jefferson,WR,ATL,0,0,0,0,0,2,9.5,13,0,0,100,13,2.3,2.3
2023,12,Payne Durham,TE,TB,0,0,0,0,0,1,3.2,12,0,0,100,12,2.2,2.2
2023,12,Luke Schoonmaker,TE,DAL,0,0,0,0,0,2,6.2,12,0,0,100,12,2.2,2.2
2023,12,Nelson Agholor,WR,BAL,0,0,0,0,0,2,6.2,21,1,0,0,21,2.1,2.1
2023,12,Allen Robinson,WR,PIT,0,0,0,0,0,1,3,11,0,0,100,11,2.1,2.1
2023,12,Josh Whyle,TE,TEN,0,0,0,0,0,1,3.6,11,0,0,100,11,2.1,2.1
2023,12,Chase Edmonds,RB,TB,0,0,0,11,0,1,3.2,0,0,0,0,11,2.1,2.1
2023,12,Clayton Tune,QB,ARI,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2023,12,Jason Brownlee,WR,NYJ,0,0,0,0,0,2,5.3,10,0,0,0,20,2,2
2023,12,Durham Smythe,TE,MIA,0,0,0,0,0,3,10,10,0,0,100,10,2,2
2023,12,D'Wayne Eskridge,WR,SEA,0,0,0,10,0,0,0,0,0,0,0,10,2,2
2023,12,Zay Jones,WR,JAC,0,0,0,0,0,3,7.9,10,0,0,100,10,2,2
2023,12,Darnell Washington,TE,PIT,0,0,0,0,0,1,3,10,0,0,100,10,2,2
2023,12,JuJu Smith-Schuster,WR,NE,0,0,0,0,0,4,11.4,5,0,0,50,10,2,2
2023,12,Brevin Jordan,TE,HOU,0,0,0,0,0,2,5.6,9,0,0,100,9,1.9,1.9
2023,12,Rashid Shaheed,WR,NO,0,0,0,0,0,5,13.2,4.5,0,0,50,9,1.9,1.9
2023,12,Jeremy Ruckert,TE,NYJ,0,0,0,0,0,4,10.5,9,0,0,0,18,1.8,1.8
2023,12,Jauan Jennings,WR,SF,0,0,0,0,0,2,6.5,7,0,0,100,7,1.7,1.7
2023,12,Darnell Mooney,WR,CHI,0,0,0,0,0,3,8.1,3,0,0,50,6,1.6,1.6
2023,12,Davis Allen,TE,LAR,0,0,0,0,0,1,3,6,0,0,100,6,1.6,1.6
2023,12,Calvin Austin,WR,PIT,0,0,0,0,0,1,3,5,0,0,100,5,1.5,1.5
2023,12,Patrick Taylor,RB,GB,0,0,0,3.7,0,1,3.1,4,0,0,0,15,1.5,1.5
2023,12,Ty Chandler,RB,MIN,0,0,0,2,0,2,6.2,3,0,0,0,11,1.1,1.1
2023,12,Jerry Jeudy,WR,DEN,0,0,0,0,0,3,13.6,5.5,0,0,0,11,1.1,1.1
2023,12,Connor Heyward,TE,PIT,0,0,0,0,0,2,6.1,5.5,0,0,0,11,1.1,1.1
2023,12,Jamaal Williams,RB,NO,0,0,0,3,0,2,5.3,2,0,0,0,10,1,1
2023,12,Charlie Woerner,TE,SF,0,0,0,0,0,1,3.2,9,0,0,0,9,0.9,0.9
2023,12,Ian Thomas,TE,CAR,0,0,0,0,0,1,3.2,9,0,0,0,9,0.9,0.9
2023,12,Colby Parkinson,TE,SEA,0,0,0,0,0,1,3.7,9,0,0,0,9,0.9,0.9
2023,12,Brock Wright,TE,DET,0,0,0,0,0,1,2.3,9,0,0,0,9,0.9,0.9
2023,12,Kayshon Boutte,WR,NE,0,0,0,0,0,2,5.7,8,0,0,0,8,0.8,0.8
2023,12,Laviska Shenault,WR,CAR,0,0,0,0,0,1,3.2,8,0,0,0,8,0.8,0.8
2023,12,Irv Smith,TE,CIN,0,0,0,0,0,2,7.7,4,0,0,0,8,0.8,0.8
2023,12,Daniel Bellinger,TE,NYG,0,0,0,0,0,1,4,8,0,0,0,8,0.8,0.8
2023,12,Tyjae Spears,RB,TEN,0,0,0,3,0,3,10.7,1,0,0,0,7,0.7,0.7
2023,12,Quentin Johnston,WR,LAC,0,0,0,0,0,3,6.8,7,0,0,0,7,0.7,0.7
2023,12,AT Perry,WR,NO,0,0,0,0,0,2,5.3,7,0,0,0,7,0.7,0.7
2023,12,Tommy Tremble,TE,CAR,0,0,0,0,0,1,3.2,7,0,0,0,7,0.7,0.7
2023,12,Tank Bigsby,RB,JAC,0,0,0,6,0,0,0,0,0,0,0,6,0.6,0.6
2023,12,Zach Evans,RB,LAR,0,0,0,2,0,0,0,0,0,0,0,6,0.6,0.6
2023,12,Sterling Shepard,WR,NYG,0,0,0,0,0,3,12,6,0,0,0,6,0.6,0.6
2023,12,Nick Bawden,RB,NYJ,0,0,0,0,0,1,2.6,6,0,0,0,6,0.6,0.6
2023,12,Jake Bobo,WR,SEA,0,0,0,0,0,1,3.7,6,0,0,0,6,0.6,0.6
2023,12,John Metchie,WR,HOU,0,0,0,0,0,2,5.6,6,0,0,0,6,0.6,0.6
2023,12,Keith Smith,RB,ATL,0,0,0,0,0,1,4.8,6,0,0,0,6,0.6,0.6
2023,12,Clyde Edwards-Helaire,RB,KC,0,0,0,1.7,0,0,0,0,0,0,0,5,0.5,0.5
2023,12,DeeJay Dallas,RB,SEA,0,0,0,5,0,1,3.7,5,0,0,0,15,0.5,0.5
2023,12,Jalen Guyton,WR,LAC,0,0,0,0,0,5,11.4,4,0,0,0,4,0.4,0.4
2023,12,Jaleel McLaughlin,RB,DEN,0,0,0,2,0,0,0,0,0,0,0,4,0.4,0.4
2023,12,Scott Miller,WR,ATL,0,0,0,0,0,2,9.5,4,0,0,0,4,0.4,0.4
2023,12,Isaiah McKenzie,WR,IND,0,0,0,3,0,0,0,0,0,0,0,3,0.3,0.3
2023,12,CJ Ham,RB,MIN,0,0,0,0,0,3,9.4,1.5,0,0,0,3,0.3,0.3
2023,12,PJ Walker,QB,CLE,46.2,1,0,-1,0,0,0,0,0,0,0,55,0.24,0.24
2023,12,Derius Davis,WR,LAC,0,0,0,-0.5,0,1,2.3,2,0,0,0,1,0.2,0.2
2023,12,Dalton Schultz,TE,HOU,0,0,0,0,0,2,5.6,2,0,0,0,2,0.2,0.2
2023,12,Adam Thielen,WR,CAR,0,0,0,0,0,3,9.7,2,0,0,0,2,0.2,0.2
2023,12,Bailey Zappe,QB,NE,64.3,0,0,0,0,0,0,0,0,0,0,54,0.16,0.16
2023,12,Andrew Beck,TE,HOU,0,0,0,0,0,1,2.8,1,0,0,0,1,0.1,0.1
2023,12,Mitchell Wilcox,TE,CIN,0,0,0,0,0,1,3.8,1,0,0,0,1,0.1,0.1
2023,12,MyCole Pruitt,TE,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Trevon Wesco,TE,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Carson Wentz,QB,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Nate Adkins,TE,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Julian Hill,TE,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Jordan Akins,TE,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Ronnie Bell,WR,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Kenny McIntosh,RB,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Devin Duvernay,WR,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Steven Sims,WR,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Eric Saubert,TE,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Rodney Williams,WR,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Kene Nwangwu,RB,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Reggie Gilliam,TE,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Hunter Long,TE,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Pharaoh Brown,TE,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Kyle Philips,WR,TEN,0,0,0,0,0,2,7.1,-3,0,0,0,-3,0,0
2023,12,Brady Russell,TE,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Michael Burton,RB,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Pierre Strong,RB,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Jamison Crowder,WR,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Stone Smartt,TE,LAC,0,0,0,0,0,1,2.3,0,0,0,0,0,0,0
2023,12,Andre Baccellia,WR,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Cedrick Wilson,WR,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Chris Blair,WR,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,David Sills,WR,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Trey Sermon,RB,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Miles Boykin,WR,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Richie James,WR,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,David Bell,WR,CLE,0,0,0,0,0,2,4.8,0,0,0,0,0,0,0
2023,12,Dare Ogunbowale,RB,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,John Bates,TE,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Trent Sherfield,WR,BUF,0,0,0,0,0,3,5.9,0,0,0,0,0,0,0
2023,12,Donovan Peoples-Jones,WR,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Gunner Olszewski,WR,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Khadarel Hodge,WR,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Deven Thompkins,WR,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Tyler Kroft,TE,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Lamical Perine,RB,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Godwin Igwebuike,RB,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,Ben Sims,TE,GB,0,0,0,0,0,1,3.1,0,0,0,0,0,0,0
2023,12,Foster Moreau,TE,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
